Hallo.	Hello.	[sound:Firetongues-DE-EN-0001.mp3]	
Wir mussten nicht in die Sprachschule gehen, weil Feiertag war.	We did not have to go to language school because it was a holiday.	[sound:Firetongues-DE-EN-0309.mp3]	
Wir konnten machen, was wir wollten.	We could do whatever we wanted./<br>We could do what we wanted.	[sound:Firetongues-DE-EN-0310.mp3]	
Was hast du gemacht?	What did you do?	[sound:Firetongues-DE-EN-0311.mp3]	
Wir wussten erst nicht, wie wir den Tag am besten nutzen konnten.	At first, we didn't know how we could best use the day.<br>We did not know at first how we could best use the day.	[sound:Firetongues-DE-EN-0313.mp3]	
Dann dachten wir: Wieso nicht wandern gehen?	Then we thought: Why not go hiking?	[sound:Firetongues-DE-EN-0314.mp3]	
Also haben wir unsere Sachen gepackt und sind losgegangen.	So we packed our stuff and went.	[sound:Firetongues-DE-EN-0315.mp3]	
Wo seid ihr gewandert?	Where did you hike? (pl.)	[sound:Firetongues-DE-EN-0316.mp3]	
Wie lange seid ihr gewandert?	How long did you hike?	[sound:Firetongues-DE-EN-0319.mp3]	
Ich glaube, es waren insgesamt fünf Stunden.	I think it was five hours in total.	[sound:Firetongues-DE-EN-0320.mp3]	
Wie fandest du es?	How did you like it?/<br>How did you find it? (inf., sg.)	[sound:Firetongues-DE-EN-0321.mp3]	
Ich fand es toll.	I found it great.	[sound:Firetongues-DE-EN-0322.mp3]	
Ich wusste nicht, dass Wandern so viel Spaß macht.	I didn't know that hiking was so much fun.	[sound:Firetongues-DE-EN-0323.mp3]	
Schön, dass ihr Spaß hattet.	It's nice that you had fun.	[sound:Firetongues-DE-EN-0324.mp3]	
Es ging.	It was okay.	[sound:Firetongues-DE-EN-0325.mp3]	
nichts Besonderes	nothing special	[sound:Firetongues-DE-EN-0326.mp3]	
Ich musste viel für die Uni machen.	I had to do a lot for university.	[sound:Firetongues-DE-EN-0327.mp3]	
Ich wusste nicht, was ich zu Mittag essen sollte.	I did not know what to eat for lunch.	[sound:Firetongues-DE-EN-0328.mp3]	
Also habe ich einfach Nudeln gemacht.	So I just made noodles.	[sound:Firetongues-DE-EN-0329.mp3]	
Normalerweise koche ich gerne.	Usually, I like to cook.	[sound:Firetongues-DE-EN-0331.mp3]	
Was hast du am Nachmittag gemacht?	What did you do in the afternoon?	[sound:Firetongues-DE-EN-0333.mp3]	
Eigentlich wollte ich mit einer Freundin ins Kino gehen.	Actually, I wanted to go to the movies with a friend (fem).	[sound:Firetongues-DE-EN-0334.mp3]	
Sie hat abgesagt, weil sie krank ist.	She canceled because she is sick.	[sound:Firetongues-DE-EN-0335.mp3]	
Also habe ich alleine einen Film auf Netflix geschaut.	So I watched a movie on Netflix alone.	[sound:Firetongues-DE-EN-0336.mp3]	
Was für einen Film?	What kind of movie?	[sound:Firetongues-DE-EN-0337.mp3]	
Es war ein Film aus Mexiko.	It was a movie from Mexico.	[sound:Firetongues-DE-EN-0338.mp3]	
Ich wollte mein Spanisch verbessern.	I wanted to improve my Spanish.	[sound:Firetongues-DE-EN-0339.mp3]	
Kannst du so gut Spanisch, dass du Filme auf Spanisch verstehst?	Can you Spanish so well that you understand movies in Spanish?	[sound:Firetongues-DE-EN-0340.mp3]	
Ich musste den Film mit Untertiteln schauen.	I had to watch the film with subtitles.	[sound:Firetongues-DE-EN-0341.mp3]	
Wie fandest du den Film?	How did you find the movie?	[sound:Firetongues-DE-EN-0342.mp3]	
Es war etwas langweilig.	It was a bit boring.	[sound:Firetongues-DE-EN-0343.mp3]	
Es ist nicht viel passiert.	Not much happened.	[sound:Firetongues-DE-EN-0344.mp3]	
Er kennt sie.	He knows her.	[sound:Firetongues-DE-EN-0348.mp3]	
Sie kennt ihn.	She knows him.	[sound:Firetongues-DE-EN-0349.mp3]	
Der kleine Junge fragt den Studenten.	The little boy asks the student.	[sound:Firetongues-DE-EN-0350.mp3]	
Der Student fragt den kleinen Jungen.	The student asks the little boy.	[sound:Firetongues-DE-EN-0351.mp3]	
Der Italiener mag den Deutschen.	The Italian likes the German.	[sound:Firetongues-DE-EN-0352.mp3]	
Der Deutsche mag den Italiener.	The German likes the Italian.	[sound:Firetongues-DE-EN-0353.mp3]	
Der Junge hasst die Schule.	The boy hates school.	[sound:Firetongues-DE-EN-0354.mp3]	
Sie hat einen sympathischen Mann getroffen.	She met a sympathetic/likeable man.	[sound:Firetongues-DE-EN-0355.mp3]	
Das Mädchen hat eine neue Tasche.	The girl has a new bag.	[sound:Firetongues-DE-EN-0356.mp3]	
Max trinkt ein großes Bier.	Max is drinking a big beer.	[sound:Firetongues-DE-EN-0357.mp3]	
Ohne den Menschen hat die Erde keine Probleme.	Without humans, the earth has no problems.	[sound:Firetongues-DE-EN-0358.mp3]	
Das Kind geht jeden Tag in die Schule.	The child goes to school every day.	[sound:Firetongues-DE-EN-0359.mp3]	
Wir müssen diese Übung als Hausaufgabe machen.	We have to do this exercise for homework.	[sound:Firetongues-DE-EN-0362.mp3]	
Ich verstehe nicht, was dieser Satz bedeutet.	I do not understand what this phrase means.	[sound:Firetongues-DE-EN-0363.mp3]	
Kannst du das bitte übersetzen?	Can you please translate this?	[sound:Firetongues-DE-EN-0364.mp3]	
Warst du schon einmal in Amerika?	Have you ever been to America?	[sound:Firetongues-DE-EN-0365.mp3]	
Ich war noch nie in Amerika.	I have never been to America.	[sound:Firetongues-DE-EN-0366.mp3]	
Ich reise gerne.	I like to travel.	[sound:Firetongues-DE-EN-0367.mp3]	
Es ist nicht gerade billig, nach Amerika zu fliegen.	It is not quite cheap to fly to America.	[sound:Firetongues-DE-EN-0368.mp3]	
Du hast recht.	You're right.	[sound:Firetongues-DE-EN-0369.mp3]	
Du musst auf diese Frage antworten.	You have to answer this question.	[sound:Firetongues-DE-EN-0370.mp3]	
Hast du mir etwas mitgebracht?	Did you bring me something?	[sound:Firetongues-DE-EN-0387.mp3]	
Anna hat Ferien.	Anna is on vacation.	[sound:Firetongues-DE-EN-0388.mp3]	
Sie ist nach Hause gefahren.	She went home.	[sound:Firetongues-DE-EN-0389.mp3]	
Ihre Eltern sind im Moment auf Arbeit.	Her parents are at work right now. /<br>Her parents are at the moment at work.	[sound:Firetongues-DE-EN-0390.mp3]	
Sie sitzt mit ihrem kleinen Bruder im Garten.	She is sitting with her little brother in the garden.	[sound:Firetongues-DE-EN-0391.mp3]	
Sie erzählt ihm von München.	She tells him about Munich.	[sound:Firetongues-DE-EN-0392.mp3]	
Meine Wohnung ist nicht weit von der Uni.	My apartment is not far from university.	[sound:Firetongues-DE-EN-0393.mp3]	
Mit der Straßenbahn bin ich in zehn Minuten dort.	By tram, I am there in ten minutes.	[sound:Firetongues-DE-EN-0394.mp3]	
Wenn ich sie verpasse, kommt die nächste in wenigen Minuten.	If I miss it, the next one comes in a few minutes.	[sound:Firetongues-DE-EN-0395.mp3]	
Wie ist es, alleine zu wohnen?	What is it like to live alone?	[sound:Firetongues-DE-EN-0396.mp3]	
Vermisst du mich nicht?	Don't you miss me?	[sound:Firetongues-DE-EN-0397.mp3]	
Natürlich vermisse ich euch.	Of course I miss you (pl.).	[sound:Firetongues-DE-EN-0399.mp3]	
Es hat Vorteile, alleine zu wohnen.	Living alone also has benefits.	[sound:Firetongues-DE-EN-0400.mp3]	
Ich kann mich besser auf das Lernen konzentrieren.	I can better concentrate on studying.	[sound:Firetongues-DE-EN-0401.mp3]	
Ich kann morgens ins Bad, wann ich will.	In the morning, I can use the bathroom when I want.	[sound:Firetongues-DE-EN-0402.mp3]	
Trotzdem war es eine gute Idee auszuziehen.	Still, it was a good idea to move out.	[sound:Firetongues-DE-EN-0404.mp3]	
Jetzt lebe ich mein eigenes Leben.	Now I'm living my own life.	[sound:Firetongues-DE-EN-0405.mp3]	
Das ist doch blöd.	That is just stupid.	[sound:Firetongues-DE-EN-0406.mp3]	
Ich möchte lieber, dass du (hier bleibst?) hierbleibst.	I'd prefer you staying here./<br>I would rather you stay here.	[sound:Firetongues-DE-EN-0407.mp3]	
Das geht leider nicht.	Unfortunately, that is not possible.	[sound:Firetongues-DE-EN-0408.mp3]	
Ich habe mich entschieden, in einer anderen Stadt zu studieren.	I decided to study in another city.	[sound:Firetongues-DE-EN-0409.mp3]	
Ich habe viele Fotos gemacht.	I took a lot of pictures.	[sound:Firetongues-DE-EN-0411.mp3]	
Die zeige ich dir gerne.	I'll be happy to show them to you.	[sound:Firetongues-DE-EN-0412.mp3]	
Guck mal!	Have a look!	[sound:Firetongues-DE-EN-0413.mp3]	
Auf diesem Bild siehst du den Marienplatz.	In this picture you see the Marienplatz.	[sound:Firetongues-DE-EN-0414.mp3]	
Gib mir dein Handy!	Give me your cell phone!	[sound:Firetongues-DE-EN-0415.mp3]	
Hier, bitte schön.	Here you are.	[sound:Firetongues-DE-EN-0417.mp3]	
Das sieht schön aus.	That looks nice.	[sound:Firetongues-DE-EN-0418.mp3]	
Ich möchte ein Geschenk haben.	I want to have a gift.	[sound:Firetongues-DE-EN-0419.mp3]	
Du kannst mir etwas mit der Post schicken.	You can send me something by mail.	[sound:Firetongues-DE-EN-0420.mp3]	
Vielleicht schreibe ich dir einen Brief.	Maybe I'll write you a letter.	[sound:Firetongues-DE-EN-0421.mp3]	
Ich kann doch gar nicht lesen.	I can't even read.	[sound:Firetongues-DE-EN-0422.mp3]	
Bald fängt die Schule an.	School is about to start.	[sound:Firetongues-DE-EN-0423.mp3]	
In der Schule lernst du Lesen.	At school you learn to read.	[sound:Firetongues-DE-EN-0424.mp3]	
Wenn du Lesen kannst, kriegst du ein Geschenk von mir.	If you can read, you get a gift from me.	[sound:Firetongues-DE-EN-0425.mp3]	
Dann lerne ich jetzt gleich Lesen.	Then I'll learn to read right now.	[sound:Firetongues-DE-EN-0426.mp3]	
Er hilft ihr.	He helps her.	[sound:Firetongues-DE-EN-0428.mp3]	
Guten Abend.	Good evening.	[sound:Firetongues-DE-EN-0429.mp3]	
Einen Tisch für zwei bitte.	A table for two, please.	[sound:Firetongues-DE-EN-0430.mp3]	
Haben Sie reserviert?	Do you have a reservation? (fr.)	[sound:Firetongues-DE-EN-0431.mp3]	
Leider nicht.	Unfortunately not.	[sound:Firetongues-DE-EN-0432.mp3]	
Warten Sie bitte einen Moment.	Please wait a moment. (fr.)	[sound:Firetongues-DE-EN-0434.mp3]	
Sie haben Glück.	You are lucky. (fr.)	[sound:Firetongues-DE-EN-0435.mp3]	
Einen freien Tisch haben wir noch.	We still have one empty table.	[sound:Firetongues-DE-EN-0436.mp3]	
Folgen Sie mir bitte.	Follow me, please.	[sound:Firetongues-DE-EN-0437.mp3]	
Bitte schön, die Speisekarte.	Here you are, the menu.	[sound:Firetongues-DE-EN-0438.mp3]	
Könnten Sie uns etwas empfehlen?	Could you (fr.) recommend something to us?	[sound:Firetongues-DE-EN-0439.mp3]	
Heute haben wir frischen Fisch.	Today we have fresh fish.	[sound:Firetongues-DE-EN-0440.mp3]	
Ich würde Ihnen den Lachs empfehlen.	I would recommend the salmon to you.	[sound:Firetongues-DE-EN-0441.mp3]	
Ganz schön voll hier.	Quite/pretty busy here.	[sound:Firetongues-DE-EN-0442.mp3]	
Schön, dass noch etwas frei war.	It's nice that something was still available.	[sound:Firetongues-DE-EN-0443.mp3]	
Es wäre ärgerlich, wenn wir jetzt ein anderes Restaurant suchen müssten.	It would be annoying if we had to find another restaurant now.	[sound:Firetongues-DE-EN-0444.mp3]	
Ach, das wäre nicht so schlimm.	Oh, that wouldn't be so bad.	[sound:Firetongues-DE-EN-0445.mp3]	
Wir hätte bestimmt etwas Anderes gefunden.	We would have found something else for sure.	[sound:Firetongues-DE-EN-0446.mp3]	
Dann hätten wir noch einen Spaziergang gemacht.	Then we would have taken another walk.	[sound:Firetongues-DE-EN-0447.mp3]	
Isst du gerne Fisch?	Do you like to eat fish?	[sound:Firetongues-DE-EN-0448.mp3]	
Nicht unbedingt.	Not quite.	[sound:Firetongues-DE-EN-0449.mp3]	
Ich hätte gerne ein Schnitzel mit Pommes.	I'd like a Schnitzel with fries.	[sound:Firetongues-DE-EN-0455.mp3]	
Ich nehme den Lachs mit Salzkartoffeln.	I take the salmon with boiled potatoes.	[sound:Firetongues-DE-EN-0456.mp3]	
Sehr gerne.	My pleasure.	[sound:Firetongues-DE-EN-0459.mp3]	
Schmeckt's?	Does it taste good?	[sound:Firetongues-DE-EN-0464.mp3]	
Ich bin ein bisschen überrascht, dass du kein Bier bestellt hast.	I am a bit surprised that you didn't order a beer.	[sound:Firetongues-DE-EN-0466.mp3]	
Fast hätte ich das gemacht.	I almost did.	[sound:Firetongues-DE-EN-0467.mp3]	
Es ist alles sehr lecker.	It's all very tasty.	[sound:Firetongues-DE-EN-0470.mp3]	
Würden Sie uns noch einmal die Speisekarte bringen?	Would you bring us the menu again? (fr.)	[sound:Firetongues-DE-EN-0473.mp3]	
Haben Sie schon gewählt?	Have you chosen? (fr.)	[sound:Firetongues-DE-EN-0475.mp3]	
Ich hätte gerne ein Stück Schokokuchen.	I'd like a piece of chocolate cake.	[sound:Firetongues-DE-EN-0476.mp3]	
Wir würden gerne zahlen.	We would like to pay.	[sound:Firetongues-DE-EN-0478.mp3]	
Getrennt oder zusammen?	Separately or together?	[sound:Firetongues-DE-EN-0479.mp3]	
Mit Karte oder bar?	With credit card or cash?	[sound:Firetongues-DE-EN-0480.mp3]	
Das macht dann sechsundvierzig Euro.	That's forty six euros then.	[sound:Firetongues-DE-EN-0481.mp3]	
Ich wünsche Ihnen einen schönen Abend.	I wish you a nice evening. (pl.)	[sound:Firetongues-DE-EN-0483.mp3]	
Danke, gleichfalls.	Thanks, you too.	[sound:Firetongues-DE-EN-0484.mp3]	
Ich hätte gerne zwei Kilo Äpfel	I would like two kilos of apples	[sound:Firetongues-DE-EN-0487.mp3]	
Sonst noch etwas?	Anything else?	[sound:Firetongues-DE-EN-0489.mp3]	
Ich bräuchte noch Eier.	I'd also need eggs.	[sound:Firetongues-DE-EN-0490.mp3]	
Acht Stück bitte.	Eight pieces, please.	[sound:Firetongues-DE-EN-0491.mp3]	
War's das?	That's it?	[sound:Firetongues-DE-EN-0492.mp3]	
Vielleicht noch ein paar Kirschen.	Maybe a couple cherries.	[sound:Firetongues-DE-EN-0493.mp3]	
Wie viel kostet das Kilo?	How much does a kilo cost?	[sound:Firetongues-DE-EN-0494.mp3]	
Das sind Bio-Kirschen in Top-Qualität.	These are top quality organic cherries.	[sound:Firetongues-DE-EN-0497.mp3]	
Die sind aber süß!	They're so sweet!	[sound:Firetongues-DE-EN-0499.mp3]	
Ich nehme dreihundert Gramm.	I take three hundred grams.	[sound:Firetongues-DE-EN-0500.mp3]	
Und noch ein halbes Bauernbrot.	And half a farmer's bread.	[sound:Firetongues-DE-EN-0501.mp3]	
Das hätte ich fast vergessen.	I almost forgot.	[sound:Firetongues-DE-EN-0502.mp3]	
Das macht dann neunzehn Euro fünfundsiebzig.	That's nineteen euros seventy five.	[sound:Firetongues-DE-EN-0503.mp3]	
Es war ein schöner Abend letzte Woche.	It was a nice evening last week.	[sound:Firetongues-DE-EN-0504.mp3]	
Auf jeden Fall.	By all means/definitely.	[sound:Firetongues-DE-EN-0508.mp3]	
Hast du Lust am Freitagabend mit mir ins Kino zu gehen?	Would you like to go to the cinema with me Friday night?/<br>Do you feel like going to the cinema with me on Friday night?	[sound:Firetongues-DE-EN-0509.mp3]	
Der neue Film soll gut sein.	The new film is said to be good.	[sound:Firetongues-DE-EN-0510.mp3]	
Lass mich überlegen.	Let me think about it.	[sound:Firetongues-DE-EN-0511.mp3]	
Um wie viel Uhr?	At what time?	[sound:Firetongues-DE-EN-0512.mp3]	
Wie alt bist du?	How old are you?	[sound:Firetongues-DE-EN-0517.mp3]	
tausendfünfhundertzweiunddreißig	one thousand five hundred and thirty two	[sound:Firetongues-DE-EN-0530.mp3]	
Wie viel Uhr ist es?	What time is it?	[sound:Firetongues-DE-EN-0531.mp3]	
Heute ist es echt heiß draußen.	Today it's really hot outside.	[sound:Firetongues-DE-EN-0538.mp3]	
Es ist ziemlich heiß.	It's pretty hot.	[sound:Firetongues-DE-EN-0539.mp3]	
In Madrid ist es oft noch heißer.	In Madrid, it's often even hotter.	[sound:Firetongues-DE-EN-0540.mp3]	
Im Winter ist es mir in Deutschland zu kalt.	In winter, it is too cold for me in Germany.	[sound:Firetongues-DE-EN-0541.mp3]	
Jetzt bin ich froh, dass es in Deutschland kälter als in Spanien ist.	Now, I am glad that it is colder in Germany than in Spain.	[sound:Firetongues-DE-EN-0542.mp3]	
Lebt deine ganze Familie noch dort?	Does your whole family still live there?	[sound:Firetongues-DE-EN-0543.mp3]	
Hast du Geschwister?	Do you have brothers or sisters?	[sound:Firetongues-DE-EN-0544.mp3]	
Meine Eltern sind glücklich, dass ihre Kinder in ihrer Nähe wohnen.	My parents are happy that their children live nearby.	[sound:Firetongues-DE-EN-0545.mp3]	
Sind deine Geschwister älter oder jünger als du?	Are your siblings older or younger than you?	[sound:Firetongues-DE-EN-0548.mp3]	
Ich bin der Jüngste.	I am the youngest.	[sound:Firetongues-DE-EN-0549.mp3]	
Mein Bruder ist zweiunddreißig Jahre alt.	My brother is thirty-two.	[sound:Firetongues-DE-EN-0550.mp3]	
Er ist sieben Jahre älter als ich.	He is seven years older than me.	[sound:Firetongues-DE-EN-0551.mp3]	
Meine Schwester ist die älteste von uns.	My sister is the oldest of us.	[sound:Firetongues-DE-EN-0552.mp3]	
Sie ist dreiunddreißig.	She is thirty-three.	[sound:Firetongues-DE-EN-0553.mp3]	
Leben die beiden in Madrid?	Do they both live in Madrid?	[sound:Firetongues-DE-EN-0554.mp3]	
Meine Oma und mein Opa leben auch dort.	My grandma and my grandpa live there, too.	[sound:Firetongues-DE-EN-0555.mp3]	
Ich bin der einzige, der das Land verlassen hat.	I am the only one who has left the country.	[sound:Firetongues-DE-EN-0556.mp3]	
Ist Madrid eine saubere Stadt?	Is Madrid a clean city?	[sound:Firetongues-DE-EN-0557.mp3]	
Mehr oder weniger.	More or less.	[sound:Firetongues-DE-EN-0558.mp3]	
schmutziger als München	dirtier than Munich	[sound:Firetongues-DE-EN-0559.mp3]	
Ich glaube, Deutschland hat die saubersten Städte auf der Welt.	I think Germany has the cleanest cities in the world.	[sound:Firetongues-DE-EN-0560.mp3]	
Der Hund ist faul.	The dog is lazy.	[sound:Firetongues-DE-EN-0561.mp3]	
Die Katze ist fauler.	The cat is lazier.	[sound:Firetongues-DE-EN-0562.mp3]	
Das Faultier ist am faulsten.	The sloth is most lazy.	[sound:Firetongues-DE-EN-0563.mp3]	
Äpfel schmecken gut.	Apples taste good.	[sound:Firetongues-DE-EN-0564.mp3]	
Bananen schmecken besser.	Bananas taste better.	[sound:Firetongues-DE-EN-0565.mp3]	
Kirschen schmecken am besten.	Cherries taste best.	[sound:Firetongues-DE-EN-0566.mp3]	
Georg schläft viel.	Georg sleeps a lot.	[sound:Firetongues-DE-EN-0567.mp3]	
Seine Schwester schläft mehr.	His sister sleeps more.	[sound:Firetongues-DE-EN-0568.mp3]	
Sein Bruder schläft am meisten.	His brother sleeps most.	[sound:Firetongues-DE-EN-0569.mp3]	
Anna macht gerne Urlaub in den Bergen.	Anna likes to go on vacation in the mountains.	[sound:Firetongues-DE-EN-0570.mp3]	
Sie macht lieber Urlaub am Meer.	She prefers vacation by the sea.	[sound:Firetongues-DE-EN-0571.mp3]	
Sie fährt am liebsten nach Spanien.	She likes going to Spain best.	[sound:Firetongues-DE-EN-0572.mp3]	
Hast du eine bessere Idee?	Do you have a better idea?	[sound:Firetongues-DE-EN-0573.mp3]	
Georg hat einen älteren Bruder.	George has an older brother.	[sound:Firetongues-DE-EN-0574.mp3]	
Was ist das Lustigste, was du je erlebt hast?	What's the funniest thing you've ever experienced?	[sound:Firetongues-DE-EN-0575.mp3]	
Anna freut sich schon auf ihr Date mit Max.	Anna is looking forward to her date with Max.	[sound:Firetongues-DE-EN-0576.mp3]	
Sie hatte einen langen Tag und ist sehr müde.	She had a long day and very tired.	[sound:Firetongues-DE-EN-0577.mp3]	
Sie möchte sich kurz hinlegen, bevor sie sich fertigmacht.	She wants to lie down briefly before getting ready for the date.	[sound:Firetongues-DE-EN-0578.mp3]	
Als Anna wieder aufsteht, schaut sie auf die Uhr.	When Anna gets up again, she looks at the clock.	[sound:Firetongues-DE-EN-0579.mp3]	
Es ist sechs Uhr dreißig.	It is six thirty.	[sound:Firetongues-DE-EN-0580.mp3]	
"Anna sagt sich: ""Beeil dich!"""	"Anna says to herself ""Hurry up!""."	[sound:Firetongues-DE-EN-0581.mp3]	
Du musst dir noch die Haare waschen.	You still have to wash your hair.	[sound:Firetongues-DE-EN-0582.mp3]	
Nachdem sie geduscht hat, zieht sie sich an.	After having taken, a shower she gets dressed.	[sound:Firetongues-DE-EN-0583.mp3]	
Sie setzt sich, um sich zu schminken.	She sits down to put on her make-up.	[sound:Firetongues-DE-EN-0584.mp3]	
Als sie fertig ist, läuft sie so schnell wie möglich zur Straßenbahn.	When she's done, she runs to the tram as fast as possible.	[sound:Firetongues-DE-EN-0585.mp3]	
Um acht Uhr kommt sie an der Uni an.	At eight o'clock she arrives at the university.	[sound:Firetongues-DE-EN-0586.mp3]	
Max wartet schon auf sie.	Max is already waiting for her.	[sound:Firetongues-DE-EN-0587.mp3]	
Sie entschuldigt sich.	She apologizes.	[sound:Firetongues-DE-EN-0588.mp3]	
Tut mir echt leid, dass ich so spät bin.	I'm really sorry I'm so late.	[sound:Firetongues-DE-EN-0589.mp3]	
Ich habe verschlafen.	I've overslept.	[sound:Firetongues-DE-EN-0590.mp3]	
Max regt sich nicht auf.	Max doesn't get upset.	[sound:Firetongues-DE-EN-0591.mp3]	
Entspann dich!	Relax!	[sound:Firetongues-DE-EN-0592.mp3]	
Schön, dass du da bist.	It’s nice that you're here.	[sound:Firetongues-DE-EN-0593.mp3]	
Im Kino kommt sowieso immer Werbung vor den Filmen.	In the cinema, there’s always advertising before the movies anyway.	[sound:Firetongues-DE-EN-0594.mp3]	
Wenn wir uns beeilen, kommen wir rechtzeitig an.	If we hurry, we'll arrive on time.	[sound:Firetongues-DE-EN-0595.mp3]	
Gehen wir!	Let's go!	[sound:Firetongues-DE-EN-0596.mp3]	
Ich möchte mir gerne einen Opel kaufen. Doch kann ich mir das leisten?	I would like to buy an Opel. But I can afford that?	[sound:Firetongues-DE-EN-0597.mp3]	
Wir machen uns Sorgen, weil unsere Tochter Motorrad fährt.	We are worried because our daughter rides a motorbike.	[sound:Firetongues-DE-EN-0598.mp3]	
Das ist gefährlich. Sie könnte sich verletzen.	That's dangerous. She could get hurt.	[sound:Firetongues-DE-EN-0599.mp3]	
Sieh dir das mal an!	Have a look at this!	[sound:Firetongues-DE-EN-0600.mp3]	
Du wünschst dir neue Schuhe zum Geburtstag.	You want new shoes for your birthday.	[sound:Firetongues-DE-EN-0601.mp3]	
Bitte melde dich!	Please contact me! (lit. “Please report yourself!”)	[sound:Firetongues-DE-EN-0602.mp3]	
Erinnerst du dich noch an mich?	Do you remember me?	[sound:Firetongues-DE-EN-0603.mp3]	
In einer guten Beziehung muss man sich nicht oft streiten.	You don't have to argue often in a good relationship.	[sound:Firetongues-DE-EN-0604.mp3]	
Sie kennen sich schon lange.	They have known each other a long time.	[sound:Firetongues-DE-EN-0605.mp3]	
Sie treffen sich jede Woche.	They meet every week.	[sound:Firetongues-DE-EN-0606.mp3]	
Du gibst dir Mühe.	You are making an effort.	[sound:Firetongues-DE-EN-0609.mp3]	
Anna geht heim.	Anna goes home.	[sound:Firetongues-DE-EN-0610.mp3]	
Sie kommt zu Hause an.	She arrives at home.	[sound:Firetongues-DE-EN-0611.mp3]	
Sie nimmt ihren Schlüssel.	She takes her key.	[sound:Firetongues-DE-EN-0612.mp3]	
Sie macht die Tür auf.	She opens the door.	[sound:Firetongues-DE-EN-0613.mp3]	
Sie geht hinein.	She goes inside.	[sound:Firetongues-DE-EN-0614.mp3]	
Sie macht die Tür zu.	She closes the door.	[sound:Firetongues-DE-EN-0615.mp3]	
Dann macht sie das Licht an.	Then she turns on the light.	[sound:Firetongues-DE-EN-0616.mp3]	
Sie macht sich für die Nacht fertig.	She gets ready for the night.	[sound:Firetongues-DE-EN-0617.mp3]	
Sie macht das Licht aus und legt sich ins Bett.	She turns off the light and goes to bed.	[sound:Firetongues-DE-EN-0618.mp3]	
Sie kann nicht einschlafen.	She cannot fall asleep.	[sound:Firetongues-DE-EN-0619.mp3]	
Sie denkt an Max.	She thinks of Max.	[sound:Firetongues-DE-EN-0620.mp3]	
Er hat sie geküsst.	He kissed her.	[sound:Firetongues-DE-EN-0621.mp3]	
Es war ihr erster Kuss.	It was her first kiss.	[sound:Firetongues-DE-EN-0622.mp3]	
Es hat sich komisch angefühlt	It felt weird.	[sound:Firetongues-DE-EN-0623.mp3]	
Passen sie überhaupt zusammen?	Are they even a good match?	[sound:Firetongues-DE-EN-0624.mp3]	
Anna findet, dass sie vielleicht etwas zu ernst für Max ist.	Anna thinks that she might be a little too serious for Max.	[sound:Firetongues-DE-EN-0625.mp3]	
Um ein Uhr nachts ist Anna noch immer nicht eingeschlafen.	Anna still has not fallen asleep at one in the morning.	[sound:Firetongues-DE-EN-0626.mp3]	
Am nächsten Morgen steht sie um sieben Uhr auf.	The next morning, she gets up at seven o'clock.	[sound:Firetongues-DE-EN-0627.mp3]	
Sie ist todmüde.	She's dead tired.	[sound:Firetongues-DE-EN-0628.mp3]	
Um acht Uhr fängt die Uni an.	At eight o'clock, university starts.	[sound:Firetongues-DE-EN-0629.mp3]	
Warum sind die beiden nicht am Wochenende ins Kino gegangen?	Why didn't the two of them go to the movies at the weekend?	[sound:Firetongues-DE-EN-0630.mp3]	
Sie hasst es, früh aufzustehen.	She hates getting up early.	[sound:Firetongues-DE-EN-0638.mp3]	
Ich habe mich entschieden, dich anzurufen.	I decided to call you.	[sound:Firetongues-DE-EN-0639.mp3]	
Wird es morgen regnen?	Will it rain tomorrow?	[sound:Firetongues-DE-EN-0640.mp3]	
Wir werden sehen.	We will see.	[sound:Firetongues-DE-EN-0641.mp3]	
Das wirst du noch bereuen.	You'll regret that.	[sound:Firetongues-DE-EN-0642.mp3]	
Werden Max und Anna heiraten?	Will Max and Anna get married?	[sound:Firetongues-DE-EN-0643.mp3]	
Das wird schon gehen.	That'll be all right.	[sound:Firetongues-DE-EN-0644.mp3]	
Es wird schon nichts passieren.	Nothing will happen.	[sound:Firetongues-DE-EN-0645.mp3]	
Wenn du das sagst, wird das wohl stimmen.	If you say that, it's probably true.	[sound:Firetongues-DE-EN-0646.mp3]	
Max ist Annas Freund.	Max is Anna's friend.	[sound:Firetongues-DE-EN-0647.mp3]	
Was ist die beste Lösung des Problems?	What is the best solution to the problem?	[sound:Firetongues-DE-EN-0648.mp3]	
Das Gesicht der Frau ist eher hässlich.	The woman's face is rather ugly.	[sound:Firetongues-DE-EN-0649.mp3]	
Der Bruder des Mannes ist arm.	The man's brother is poor.	[sound:Firetongues-DE-EN-0650.mp3]	
Der Vater der jungen Frau ist reich.	The young woman's father is rich.	[sound:Firetongues-DE-EN-0651.mp3]	
Wem gehört dieses Zeug?	To whom does this stuff below?	[sound:Firetongues-DE-EN-0652.mp3]	
Das sind die Sachen einer Freundin.	These are the things of a friend.	[sound:Firetongues-DE-EN-0653.mp3]	
Wegen der lauten Musik tun mir die Ohren weh.	Because of the loud music my ears hurt.	[sound:Firetongues-DE-EN-0654.mp3]	
Die Freundin meiner Mutter ist im Krankenhaus.	My mother's friend is in the hospital.	[sound:Firetongues-DE-EN-0655.mp3]	
Das Problem der jungen Leute ist, dass sie keinen Bock haben, sich anzustrengen.	The problem of young people is that they don't feel like making an effort.	[sound:Firetongues-DE-EN-0656.mp3]	
