你好！	Nǐ hǎo!	Hello!	[sound:tmp1cctcn.mp3] 
我感觉就像做梦一样。	wǒ gǎnjué jiù xiàng zuòmèng yīyàng .	I felt as if I were in a dream.	[sound:334550.mp3]
行动前，我们首先得制定计划。	Xíngdòng qián, wǒmen shǒuxiān děi zhìdìng jìhuà.	Before taking action, we must first make a plan.	[sound:tmp6g3fak.mp3]
从马德里来的人都很怪。	cóng mǎdélǐ lái de rén dōu hěn guài .	People from Madrid are weird.	[sound:334432.mp3]
现在是九点。	Xiànzài shì jiǔ diǎn. (no shi ok)	It's nine o'clock now.	[sound:tmp3le55h.mp3]
银行九点上班。	Yínxíngjiǔdiǎnshàngbān.	The bank opens at 9.	[sound:tmp3di3a3.mp3]
现在是九点半。	Xiànzài shì jiǔ diǎn bàn.	(Right now) It's nine thirty.	[sound:G036-04.mp3]
他提出了一个条件。	Tā tíchū le yī gè tiáojiàn.	He put forth a condition.	[sound:tmpetu7ib.mp3]
大家纷纷提出意见。	Dàjiā fēnfēn tíchū yìjiàn.	We aired our views one after another.	[sound:tmptt_ebr.mp3]
他提出一系列的问题。	Tā tíchū yī xìliè de wèntí.	He asked a series of questions.	[sound:tmpyl0hzy.mp3]
他们接受了记者的访问。	Tāmen jiēshòu le jìzhě de fǎngwèn.	They have undergone a reporter's interview.	[sound:tmp95wptc.mp3]
你会去访问其他国家吗？	nǐ huì qù fǎngwèn qítāguójiā ma ?	Are you going to visit any other countries?	[sound:334595.mp3]
访问团已经来了。	Fǎngwèntuán yǐjīng lái le.	The delegation has arrived.	[sound:tmpmqmiu8.mp3]
一支美国访问团昨天来到我们学校。	Yīzhī Měiguó fǎngwèntuán zuótiān lái dào wǒmen xuéxiào.	An American delegation arrived at our school yesterday.	[sound:tmpbfpomi.mp3]
美国以及中国都参加了会议。	Měiguó yǐjí Zhōngguó dōu cānjiā le huìyì.	Both America and China attended the meeting.	[sound:tmpu4ox9h.mp3]
他适合参加这次比赛。	Tā shìhé cānjiā zhècì bǐsài.	He is fit to participate in this match.	[sound:tmpobjlqo.mp3]
我一月份要参加考试。	wǒ yī yuèfèn yào cānjiā kǎoshì .	I'm taking an exam in January.	[sound:334499.mp3]
他星期四没有课。	Tā xīngqīsì méi yǒu kè.	He doesn't have class on Thursday.	[sound:R043-05.mp3]
你有空吗？	Nǐ yǒukōng ma?	Are you free?	[sound:tmpwcgb6d.mp3]
我今天有空。	wǒ jīntiān yǒu kōng .	I'm free today.	[sound:333310.mp3]
我用两千日元买了这本书。	wǒ yòng liǎng qiān rìyuán mǎi le zhè běn shū .	I paid two thousand yen for the book.	[sound:332889.mp3]
她正在做实验。	Tā zhèngzài zuò shíyàn.	She's conducting an experiment.	[sound:tmpwa5m8_.mp3]
要完成实验，三个月太短了。	yào wánchéng shíyàn , sān ge yuè tài duǎn le .	Three months is too short a time to finish the experiment.	[sound:332486.mp3]
实验部分很重要。	Shíyàn bùfen hěn zhòngyào.	The experimental part is very important.	[sound:tmpa7pke5.mp3]
他们在分析实验的结果。	Tāmen zài fēnxī shíyàn de jiéguǒ.	They're analyzing the result of the experiment.	[sound:tmpuzdveq.mp3]
这项改革取得了很大的成果。	Zhèxiàng gǎigé qǔdé le hěn dà de chéngguǒ.	This reform made great achievements.	[sound:tmpbygtax.mp3]
他的努力没有成果。	tā de nǔlì méiyǒu chéngguǒ .	Nothing has resulted from his efforts.	[sound:332570.mp3]
他被很多人围着，自然变得有点紧张。	tā bèi hěn duō rén wéi zhe , zìrán biàn děi yǒudiǎn jǐnzhāng .	With so many people around he naturally became a bit nervous.	[sound:334436.mp3]
小朋友围在一起种树。	Xiǎopéngyou wéi zài yīqǐ zhòngshù.	The little children gathered round to plant the tree.	[sound:tmpnrpvvc.mp3]
那个小朋友在弄什么？	Nàge xiǎopéngyou zài nòng shénme?	What's that small child doing?	[sound:tmpqqk03j.mp3]
洗后弄平。	xǐ hòu nòngpíng .	Pull into shape after washing.	[sound:334417.mp3]
得了！你弄得她不自在了！	děi le ! nǐ nòng děi tā bùzìzài le !	Stop it! You're making her feel uncomfortable!	[sound:334912.mp3]
姐姐每天早晨都去跑步。	Jiějie měi tiān zǎochen dōu qù pǎobù.	My older sister goes running every morning.	[sound:tmp64aebh.mp3]
我一直坚持每天早晨跑步。	Wǒ yìzhí jiānchí měitiān zǎochen pǎobù.	I always go jogging in the morning.	[sound:tmpwylpry.mp3]
小朋友在画画。	Xiǎopéngyǒu zài huàhuà.	The little kids are drawing.	[sound:tmpjcstge.mp3]
这只表很准。	Zhè zhī biǎo hěn zhǔn.	This watch is very accurate.	[sound:tmp3ic__3.mp3]
他说的这个号码很准确。	Tā shuō de zhè gè hàomǎ hěn zhǔnquè.	The number he said is very accurate.	[sound:tmpzmdc6r.mp3]
他用字很准确。	Tā yòng zì hěn zhǔnquè.	He is accurate in his wording.	[sound:tmppooqth.mp3]
他的判断很准确。	Tā de pànduàn hěn zhǔnquè.	His judgment was very accurate.	[sound:tmp_macxg.mp3]
中国有五千年的历史。	Zhōngguó yǒu wǔ qiān nián de lìshǐ.	China has 5,000 years of history.	[sound:tmp2gdfen.mp3]
请不要浪费资源。	Qǐng bùyào làngfèi zīyuán.	Please don't waste resources.	[sound:tmpac8kq0.mp3]
试着做这种事是浪费时间。	shìzhe zuò zhèzhǒng shì shì làngfèi shíjiān .	Trying to do such a thing is a waste of time.	[sound:335015.mp3]
你不该浪费你的时间。	nǐ bù gāi làngfèi nǐ de shíjiān .	You should not waste your time.	[sound:333674.mp3]
不能浪费食物。	Bù néng làngfèi shíwù.	Don't waste your food.	[sound:tmp1vu8rr.mp3]
我接受你的挑战。	Wǒ jiēshòu nǐ de tiǎozhàn.	I accept your challenge.	[sound:tmpa_ky8m.mp3]
你随便挑一个。	Nǐ suíbiàn tiāo yī gè.	Pick (casually) any one you like.	[sound:R101-01.mp3]
你自己挑的专业吗？	Nǐ zìjǐ tiāo de zhuānyè ma?	Did you pick your university major yourself?	[sound:R101-06.mp3]
从三个里挑一个。	Cóng sān gè lǐ tiāo yī gè.	Pick one of the three.	[sound:R101-03.mp3]
我们明天去爬长城。	Wǒmen míngtiān qù pá Chángchéng.	We're going to climb the Great Wall tomorrow.	[sound:tmpt1asyx.mp3]
她喜欢为她的家人做饭。	tā xǐhuān wéi tā de jiārén zuòfàn .	She likes cooking for her family. <br /> She likes to cook for her family.	[sound:334082.mp3]
我觉得偷东西真不道德。	Wǒ juéde tōu dōngxi zhēn bù dàodé.	I think stealing is really immoral.	[sound:R099-07.mp3]
她生病了。	Tā shēngbìng le.	She is sick.	[sound:tmpsa4ppj.mp3]
她生病了，没人照顾，真可怜。	Tā shēngbìng le, méi rén zhàogù, zhēn kělián.	She is ill but no one looks after her. What a pity!	[sound:tmpzhsvvt.mp3]
万一你生病了，吃这个药。	wànyī nǐ shēngbìng le, chī zhè gè yào. (also yidan)	Take this medicine perchance you get sick.	[sound:333239.mp3]
这药会让你好受点。	zhè yào huì ràng nǐhǎo shòu diǎn .	This medicine will make you feel better.	[sound:334625.mp3]
他的英语口语没有什么进步。	Tā de Yīngyǔ kǒuyǔ méi yǒu shénme jìnbù.	His spoken English has not shown much improvement.	[sound:R086-05.mp3]
这家餐厅的环境很不错。	Zhè jiā cāntīng de huánjìng hěn bùcuò.	The restaurant is quite nice inside.	[sound:tmp7yuade.mp3]
他们在餐厅吃饭。	Tāmen zài cāntīng chīfàn.	They're eating in a restaurant.	[sound:tmpqtasuy.mp3]
这家餐厅的气氛很不错。	Zhè jiā cāntīng de qìfēn hěn bùcuò.	The atmosphere in this restaurant is quite nice.	[sound:tmpmhebit.mp3]
你哪儿来的主意？	nǐ nǎr lái de zhǔyi ?	Where did you get the idea?	[sound:334045.mp3]
真是个好主意！	zhēnshì ge hǎo zhǔyi !	That's a good idea!	[sound:334422.mp3]
我有两张门票。	Wǒ yǒu liǎng zhāng ménpiào.	I have two tickets.	[sound:tmprh8qgp.mp3]
我对这件事情很好奇。	Wǒ duì zhèjiàn shìqing hěn hàoqí.	I'm very curious about this matter.	[sound:tmpcdzgnw.mp3]
我很好奇。	wǒ hěn hàoqí .	I am curious.	[sound:335059.mp3]
他们在商量新工作。	Tāmen zài shāngliang xīn gōngzuò.	They're discussing the new job.	[sound:tmpz5qurf.mp3]
路边有一棵树。	Lùbiān yǒu yī kē shù.	There's a tree by the road.	[sound:tmpwvutmu.mp3]
无论是什么人，都应该有人权。	Wúlùn shì shénme rén, dōu yīnggāi yǒu rénquán.	No matter who he is, everyone should have human rights.	[sound:tmp3bluuh.mp3]
我今天很伤心。	Wǒ jīntiān hěn shāngxīn.	I'm sad today.	[sound:R022-04.mp3]
她看上去很伤心。	tā kànshangqu hěn shāngxīn .	She looked sad. <br /> She looks lonesome.	[sound:334870.mp3]
周小姐昨天很伤心。	Zhōu xiǎojiě zuótiān hěn shāngxīn.	Ms. Zhou was very sad yesterday.	[sound:R024-05.mp3]
你看起来很伤心。	Nǐ kànqǐlái hěn shāngxīn.	You appear to be really sad.	[sound:R045-01.mp3]
周小姐看起来很伤心。	Zhōu xiǎojiě kànqǐlái hěn shāngxīn.	Ms. Zhou appears to be really sad.	[sound:G045-04.mp3]
这个消息让她很伤心。	zhè gè xiāoxi ràng tā hěn shāngxīn .	The news made her sad.	[sound:334540.mp3]
莫要太伤心！	Mò yào tài shāngxīn!	Don't grieve too much.	[sound:tmpe7hnaz.mp3]
这个评论写得很好。	Zhè gè pínglùn xiědé hěn hǎo.	This review is well-written.	[sound:tmpvtfvr2.mp3]
我和妈妈去超市。	Wǒ hé māma qù chāoshì.	My mom and I are going to the supermarket.	[sound:tmp6aacxg.mp3]
我上学经过一家超市。	Wǒ shàngxué jīngguò yījiā chāoshì .	I pass by a supermarket on my way to school.	[sound:tmpxrti1v.mp3]
我们去超市买菜。	Wǒmen qù chāoshì mǎicài.	We go to the supermarket to buy vegetables.	[sound:tmpyy4mq8.mp3]
在这里只能用现金买东西。	Zài zhèli zhǐ néng yòng xiànjīn mǎi dōngxi.	You can only buy things with cash here.	[sound:tmp2ejnwe.mp3]
算一算你的钱包有多少现金？	Suàn yī suàn nǐ de qiánbāo yǒu duōshǎo xiànjīn?	Count how much cash you've got in your wallet.	[sound:tmph4dwr0.mp3]
法律公平吗?	Fǎlǜ gōngping ma?	Is the law fair?	[sound:tmp3xzzwg.mp3]
考完试就可以轻松了。	Kǎo wán shì jiù kěyǐ qīngsōng le.	We can only relax after the exam.	[sound:tmpkse3fx.mp3]
他很节省。	Tā hěn jiéshěng.	He is very thrifty.	[sound:tmpxgw2qw.mp3]
有计划的做事，可以节省时间。	Yǒu jìhuà de zuòshì, kěyǐ jiéshěng shíjiān.	Handling matters using a plan can save time.	[sound:tmpruh7qi.mp3]
要节省用钱。	Yào jiéshěng yòng qián.	You should be sparing with your money.	[sound:tmptc8oxm.mp3]
她们在花园里玩。	Tāmen zài huāyuán lǐ wánr.	They're playing in the garden.	[sound:tmp9iilvf.mp3]
她帮她爸爸干了花园里的活。	tā bāng tā bàba gàn le huāyuán lǐ de huó .	She helped her father with the work in the garden.	[sound:333539.mp3]
我发现他在花园里干活。	wǒ fāxiàn tā zài huāyuán lǐ gàn huó .	I found him working in the garden.	[sound:332702.mp3]
小孩子已经睡觉了。	Xiǎo háizi yǐjīng shuìjiào le.	The child has gone to sleep.	[sound:tmp_eeddw.mp3]
小孩子对很多东西都很好奇。	Xiǎo háizi duì hěn duō dōngxi dōu hěn hàoqí.	Kids are curious about many things.	[sound:tmps1nsc_.mp3]
她在工作中犯错了。	Tā zài gōngzuò zhōng fàncuò le.	She messed up at work.	[sound:tmp3pnnmq.mp3]
不管我跟她说了多少次，她还是继续犯同样的错误。	bùguǎn wǒ gēn tā shuō le duōshao cì, tā háishì jìxù fàn tóngyàng de cuòwù. (tongyang / tongyiyang / yiyang)	No matter how often I tell her, she continues to make the same mistake.	[sound:333465.mp3]
他犯了一个小错误。	Tā fàn le yī gè xiǎo cuòwù.	He made a small mistake.	[sound:tmpe6zwse.mp3]
你犯了个错误。	nǐ fàn le ge cuòwù .	You made an error.	[sound:334321.mp3]
科技可以推动经济发展。	Kējì kěyǐ tuīdòng jīngjì fāzhǎn.	Science&amp;technology can promote economical development.	[sound:tmpqchqxw.mp3]
这个歌手在宣传他的新专辑。	Zhè gè gēshǒu zài xuānchuán tāde xīn zhuān jí.	This singer is publicizing his new album.	[sound:tmpke0e_d.mp3]
今天他穿了一件绿色的衣服。	Jīntiān tā chuān le yījiàn lǜsè de yīfu.	Today, he is wearing green clothes.	[sound:tmpooszap.mp3]
多看绿色对眼睛好。	Duō kàn lǜsè duì yǎnjing hǎo.	Looking at the color green is good for the eyes.	[sound:tmptmbxra.mp3]
农业很重要。	Nóngyè hěn zhòngyào.	Agriculture is very important.	[sound:tmp4ishxw.mp3]
他是我的叔叔。	Tā shì wǒ de shūshū.	He's my uncle.	[sound:tmpakfrku.mp3]
你叔叔让你开他的车了吗？	nǐ shūshu ràng nǐ kāi tā de chē le ma ?	Did your uncle let you drive his car?	[sound:332902.mp3]
你昨天看到的那个男人是我叔叔。	nǐ zuótiān kàn dào de nà ge nánrén shì wǒ shūshu .	The man you saw yesterday is my uncle.	[sound:333456.mp3]
我叔叔来看我了。	wǒ shūshu lái kàn wǒ le .	My uncle came to see me.	[sound:334628.mp3]
我叔叔给了我一份礼物。	wǒ shūshu gěi le wǒ yī fèn lǐwù .	My uncle gave me a present.	[sound:334104.mp3]
我叔叔住在学校附近。	wǒ shūshu zhù zài xuéxiào fùjìn .	My uncle lives near the school.	[sound:332488.mp3]
她现在正待在她叔叔家。	tā xiànzài zhèng dāi zài tā shūshu jiā .	She is now staying at her uncle's house.	[sound:332905.mp3]
我的一个叔叔给我了一些有用的建议。	wǒ de yī gè shūshu gěi wǒ le yīxiē yǒuyòng de jiànyì .	An uncle of mine gave me some useful advice.	[sound:332963.mp3]
只有能提出新问题的回答才是有用的回答。	zhǐyǒu néng tíchū xīnwèntí de huídá cái shì yǒuyòng de huídá .	The only useful answers are those that raise new questions.	[sound:334330.mp3]
叔叔购买了一辆新车。	Shūshu gòumǎi le yīliàng xīnchē.	Uncle bought a new car.	[sound:tmpkpfiov.mp3]
你做错了。	Nǐ zuòcuò le.	You made a mistake.	[sound:tmpwmjbr7.mp3]
他承认他做错了。	Tā chéngrèn tā zuò cuò le.	He admitted he made a mistake.	[sound:tmp9zdy7v.mp3]
他做错了事，很后悔。	Tā zuòcuòle shì, hěn hòuhuǐ.	He has done wrong and regrets it very much.	[sound:tmpujziwd.mp3]
我很想念你。	Wǒ hěn xiǎngniàn nǐ. (no nian, more intimate)	I miss you very much. (no intimate)	[sound:tmpyltqx0.mp3]
真臭呀。	Zhēn chòu ya.	It really stinks!	[sound:tmplc4nzc.mp3]
告诉我他怎么弄到的。	gàosu wǒ tā zěnme nòngdào de .	Tell me how he got it.	[sound:334814.mp3]
我在哪儿可以弄到电话卡？	wǒ zài nǎr kěyǐ nòngdào diànhuà kǎ ?	Where can I get a telephone card?	[sound:334845.mp3]
她手里拿着一张卡。	Tā shǒuli názhe yī zhāng kǎ.	She's holding a card in her hand.	[sound:tmpg_tqfh.mp3]
ATM凭卡取钱。	ATM píng kǎ qǔqián.	One can withdraw cash from an ATM machine using a card.	[sound:tmpxkyqup.mp3]
今天是星期天。	Jīntiān shì xīngqī tiān.	Today is Sunday.	[sound:R042-04.mp3]
我们星期天没有课。	Wǒmen xīngqītiān méiyǒu kè.	We don't have a class on Sunday.	[sound:G043-01.mp3]
那种做法令人生气。	Nà zhǒng zuòfǎ lìng rén shēngqì.	It makes people angry to do things in that way.	[sound:tmpz6lr_z.mp3]
他的成绩太令人失望了。	Tāde chéngjì tài lìngrén shīwàng le.	His scores are so disappointing.	[sound:tmpw2qjji.mp3]
他在比赛中表现得很出色。	Tā zài bǐsài zhōng biǎoxiànde hěn chūsè.	In the competition, he performed very well.	[sound:tmpfz1coj.mp3]
要是你不来，我就跟你分手。	Yàoshi nǐ bù lái, wǒ jiù gēn nǐ fēnshǒu.	If you don't come, I am going to break up with you.	[sound:tmpriwxfg.mp3]
他很会赚钱。	Tā hěn huì zhuànqián.	He knows how to earn money.	[sound:tmps578pd.mp3]
我买的股票赚钱了。	Wǒ mǎi de gǔpiào zhuànqián le.	I've earned money from my stocks.	[sound:tmpxhzmws.mp3]
她在做化学研究。	Tā zài zuò huàxué yánjiū.	She's conducting chemical research.	[sound:tmpj19loi.mp3]
化学是一门科学。	Huàxué shì yīmén kēxué.	Chemistry is a science.	[sound:tmpa4yasd.mp3]
他的化学很差。	tā de huàxué hěn chā .	He is poor at chemistry.	[sound:332985.mp3]
孩子不肯去上学。	Háizi bùkěn qù shàngxué.	The child is unwilling to go to school.	[sound:tmpjwyqcf.mp3]
为什么公司不肯改变经营的方法？	Wèi shénme gōngsī bùkěn gǎibiàn jīngyíng de fāngfǎ?	Why is the company unwilling to change its management style?	[sound:tmpdh79gd.mp3]
老师让他去办公室，但他不肯去。	Lǎoshī ràng tā qù bàngōng shì, dàn tā bùkěn qù.	The teacher allowed him to go to the office, but he would not go.	[sound:tmpfuvehr.mp3]
我喝了杯咖啡来保持清醒。	wǒ hē le bēi kāfēi lái bǎochí qīngxǐng .	I had a cup of tea to keep myself awake.	[sound:333081.mp3]
病人的意识还没有清醒。	Bìngrén de yìshi hái méiyǒu qīngxǐng.	The patient hasn't regained consciousness yet.	[sound:tmpcmgaoc.mp3]
你需要学一些常用词汇。	Nǐ xūyào xué yī xiē chángyòng cíhuì.	You need to learn some commonly used words.	[sound:R071-01.mp3]
我听到这个消息很惊讶。	wǒ tīng dào zhè gè xiāoxi hěn jīngyà .	I was very surprised to hear the news.	[sound:333214.mp3]
看你并不感到惊讶，你肯定已经知道了。	kàn nǐ bìng bù gǎndào jīngyà , nǐ kěndìng yǐjīng zhīdào le .	Seeing that you're definitely not surprised, I think you must have known.	[sound:334182.mp3]
外国人是我惊讶。	wàiguórén shì wǒ jīngyà .	Foreigners astound me. <br /> Foreign people intrigue me.	[sound:334918.mp3]
你会很惊讶你在一周内能学到的东西。	nǐ huì hěn jīngyà nǐ zài yī zhōu nèi néng xuédào de dōngxi .	You'd be surprised what you can learn in a week.	[sound:334915.mp3]
他是公司的领导人。	Tā shì gōngsī de lǐngdǎorén.	He is the leader of the company.	[sound:tmpb5jabm.mp3]
Kent生来就是个领导人。	Kent shēng lái jiùshì ge lǐngdǎorén .	Kent is a born leader.	[sound:333527.mp3]
领导人愿意接受老百姓的意见。	Lǐngdǎo rén yuànyì jiēshòu lǎobǎixìng de yìjiàn.	The leader is willing to accept people's opinions.	[sound:tmpobjbch.mp3]
老百姓的平均收入提高了。	Lǎobǎixìng de píngjūn shōurù tígāo le.	The average income of people has increased.	[sound:tmpg2fizv.mp3]
老百姓要求政治开放。	Lǎobǎixìng yāoqiú zhèngzhì kāifàng.	The people demanded political liberalization.	[sound:tmpgxnjyr.mp3]
我国在经济开放方面，已经取得了一些成果。	Wǒ guó zài jīngjì kāifàng fāngmiàn, yǐjīng qǔdé le yīxiē chéngguǒ.	Within the area of economic liberalization, our country has already made some achievements.	[sound:tmpuw7bv7.mp3]
他是非不分。	tā shì fēi bù fēn .	He has no sense of right and wrong.	[sound:332927.mp3]
科学可以促进经济发展，但是也会带来环境问题。	Kēxué kěyǐ cùjìn jīngjì fāzhǎn, dànshì yě huì dàilái huánjìng wèntí.	Science can accelerate economic development, but it can also bring environmental problems.	[sound:tmpb9up_d.mp3]
这项发明促进了这家公司的发展。	Zhèxiàng fāmíng cùjìn le zhèjiā gōngsī de fāzhǎn.	This invention accelerated this company's development.	[sound:tmpuguyjx.mp3]
小猫受伤了。	Xiǎomāo shòushāng le.	The kitten is injured.	[sound:tmpijyyli.mp3]
她的脚受伤了。	Tā de jiǎo shòushāng le.	Her foot has been injured.	[sound:tmp3janji.mp3]
我的腿受伤了。	Wǒ de tuǐ shòushāng le.	I've injured my leg.	[sound:tmpyahedo.mp3]
北方在下雪。	Běifāng zài xiàxuě.	It's snowing in the north.	[sound:tmplckfqv.mp3]
我想知道这个冬天在我们的城市会不会下雪。	wǒ xiǎng zhīdào zhè gè dōngtiān zài wǒmen de chéngshì huìbuhuì xiàxuě .	I wonder if it will snow in our town this winter	[sound:332969.mp3]
天气太热，他们出了很多汗。	Tiānqì tài rè, tāmen chūle hěn duō hàn.	It's too hot, and they have been sweating a lot.	[sound:tmpe2mlvu.mp3]
忙了一整天，真累！	Máng le yī zhěng tiān, zhēn lèi!	I was busy all day and am really tired!	[sound:tmpxijoz_.mp3]
汉语是一种很有意思的语言。	Hànyǔ shì yīzhǒng hěn yǒu yìsi de yǔyán.	Chinese is a very interesting language.	[sound:tmpd4npqw.mp3]
这本小说有意思。	Zhè běn xiǎoshuō yǒu yìsi.	This novel is interesting.	[sound:R019-01.mp3]
演出真的很有意思，你该去看看的。	yǎnchū zhēnde hěn yǒuyì sī , nǐ gāi qù kànkan de .	The show was very interesting. You should have seen it.	[sound:334892.mp3]
中国文化很有意思。	Zhōngguó wénhuà hěn yǒu yìsi.	Chinese culture is very interesting.	[sound:G019-04.mp3]
美国文化很有意思。	Měiguó wénhuà hěn yǒu yìsi.	American culture is very interesting.	[sound:G019-05.mp3]
我的同事很有意思。	Wǒ de tóngshì hěn yǒu yìsi.	My coworkers are very interesting.	[sound:R019-05.mp3]
中国历史很有意思。	Zhōngguó lìshǐ hěn yǒu yìsi.	Chinese history is very interesting.	[sound:R019-04.mp3]
你的朋友很有意思。	Nǐde péngyǒu hěn yǒu yìsi.	Your friend is very interesting.	[sound:G019-03.mp3]
A有意思吗?<br/>B没有意思。	Yǒu yìsi ma?<br />Méi yǒu yìsi.	Is it interesting?<br />No, it's not interesting.	[sound:R019-DLG.mp3]
我的工作有意思。	Wǒ de gōngzuò yǒu yìsi.	My work is interesting.	[sound:R020-05.mp3]
学英语有意思吗？	Xué Yīngyǔ yǒu yìsi ma?	Is studying English interesting?	[sound:R019-02.mp3]
学汉语很有意思。	Xué Hànyǔ hěn yǒu yìsi.	Studying Mandarin is very interesting.	[sound:G019-02.mp3]
在我看来很有意思！	zài wǒ kànlái hěn yǒuyì sī !	It seems interesting to me!	[sound:335070.mp3]
“这看上去很有意思。”Hiroshi说道。	zhè kànshangqu hěn yǒuyì sī .Hiroshi shuō dào .	This looks pretty interesting, Hiroshi says.	[sound:334476.mp3]
法国文学很有意思。	Fǎguó wénxué hěn yǒu yìsi.	French literature is very interesting.	[sound:G019-06.mp3]
俄罗斯文学很有意思。	Éluósī wénxué hěn yǒu yìsi.	Russian literature is very interesting.	[sound:G019-07.mp3]
这是谁的名片？	Zhè shì shéide míngpiàn?	Whose name card is this?	[sound:R034-06.mp3]
他们互相交换名片。	Tāmen hùxiāng jiāohuàn míngpiàn.	They're exchanging their name cards.	[sound:tmpy_q7ms.mp3]
我同事的普通话说得很好。	Wǒ tóngshì de pǔtōnghuà shuōde hěn hǎo.	My coworker speaks Mandarin really well.	[sound:G008-01.mp3]
我普通话说得不好。	Wǒ Pǔtōnghuà shuōde bù hǎo.	I don't speak Mandarin well.	[sound:R008-03.mp3]
你普通话说得很好。	Nǐ Pǔtōnghuà shuōde hěn hǎo.	You speak Mandarin really well.	[sound:R008-01.mp3]
我的朋友普通话说得很好。	Wǒ de péngyou Pǔtōnghuà shuōde hěn hǎo.	My friend speaks Mandarin really well.	[sound:R008-02.mp3]
说普通话很难。	Shuō Pǔtōnghuà hěn nán.	Speaking Mandarin is very difficult.	[sound:R013-01.mp3]
今天是星期二。	Jīntiān shì xīngqī'èr.	Today is Tuesday.	[sound:G042-05.mp3]
这不是我的过错。	Zhè bù shì wǒ de guòcuò.	This is not my fault.	[sound:tmpwlql3h.mp3]
飞行愉快！	fēixíng yúkuài !	Have a delightful flight!	[sound:333197.mp3]
他拿着武器。	Tā názhe wǔqì.	He's carrying a weapon.	[sound:tmpwg88va.mp3]
实验取得了突破。	Shíyàn qǔdéle tūpò.	The experiment achieved a breakthrough.	[sound:tmpxdpxx9.mp3]
青少年问题要特别注意。	Qīng shàonián wèntí yào tèbié zhùyì.	Juvenile problems require special attention.	[sound:tmpllpsrd.mp3]
老师奖了他一支笔。	Lǎoshī jiǎng le tā yīzhi bǐ.	The teacher awarded him a pen.	[sound:tmpq_dcz2.mp3]
他犯罪了。	Tā fànzuì le.	He's committed a crime.	[sound:tmpr0vzww.mp3]
这个犯罪和我一点关系都没有。	zhè gè fànzuì hé wǒ yīdiǎn guānxi dōu méiyǒu .	I have nothing to do with that crime.	[sound:334900.mp3]
他们的生活模式不同。	Tāmen de shēnghuó móshì bù tóng.	Their life styles are not the same.	[sound:tmpwoffxy.mp3]
他知道答案，却不敢说出来。	Tā zhīdào dá'àn, què bù gǎn shuō chū lái.	He knows the answer, nevertheless he doesn't dare say it.	[sound:tmphwbucl.mp3]
他们总共有六个孩子。	Tāmen zǒnggòng yǒu liù gè háizi.	They have six children altogether.	[sound:tmpwv8tgu.mp3]
做运动有利于健康。	zuò yùndòng yǒulìyú jiànkāng .	Exercise is good for your health.	[sound:333295.mp3]
他硕士毕业了。	Tā shuòshì bìyè le.	He has graduated with a master's degree.	[sound:tmpepxbdt.mp3]
他是历史硕士。	Tā shì lìshǐ shuòshì.	He is a scholar of history.	[sound:tmpd1gcvj.mp3]
经过努力，他获得了硕士学位。	Jīngguò nǔlì, tā huòdé le shuòshì xuéwèi.	Through hard work, he got a masters degree.	[sound:tmpn8eggd.mp3]
金先生觉得这个决定非常重要。	Jīn xiānsheng juéde zhè gè juédìng fēicháng zhòngyào.	Mr. Jin feels that this decision is very very important.	[sound:R104-05.mp3]
他正在操作电脑。	Tā zhèngzài cāozuò diànnǎo.	He's operating the computer.	[sound:tmpfdkqdv.mp3]
骑摩托车很危险。	Qí mótuōchē hěn wēixiǎn.	Riding a motorbike is very dangerous.	[sound:tmpttxfwq.mp3]
坏人抢了我的包。	Huài rén qiǎng le wǒde bāo.	A bad guy stole my bag.	[sound:tmp5qlypl.mp3]
警察大概从一个月前就开始找被偷物品了。	jǐngchá dàgài cóng yī ge yuè qián jiù kāishǐ zhǎo bèi tōu wùpǐn le .	The police have been searching for the stolen goods for almost a month.	[sound:333392.mp3]
周小姐不教生物。	Zhōu xiǎojiě bù jiāo shēngwù.	Ms. Zhou doesn't teach biology.	[sound:R025-05.mp3]
我不教生物。	Wǒ bù jiāo shēngwù.	I don't teach biology.	[sound:R025-07.mp3]
这件事至关重要。	zhè jiàn shì zhìguānzhòngyāo .	This is a matter of capital importance.	[sound:332559.mp3]
市场里很挤。	Shìchǎng lǐ hěn jǐ.	It's very crowded in the market.	[sound:tmp1pz8v7.mp3]
商店关门了。	Shāngdiàn guānmén le.	The shop is closed.	[sound:tmppcj7ss.mp3]
饭店什么时候关门？	Fàndiàn shénmeshíhou guān mén?	When does the restaurant close?	[sound:R056-07.mp3]
请关门。	Qǐng guān mén.	Please close the door.	[sound:R056-01.mp3]
我跟银行贷款。	Wǒ gēn yínháng dàikuǎn.	I got a loan from the bank.	[sound:tmp6bajh2.mp3]
我向银行贷款买了一处房子.	Wǒ xiàng yínháng dàikuǎn mǎi le yīchù fángzi.	I got a loan from the bank and bought a house.	[sound:tmpvvpiyp.mp3]
除了英语，这个学校的所有学生必须多学一门外语。	chúle yīngyǔ , zhè gè xuéxiào de suǒyǒu xuésheng bìxū duō xué yī ménwài yǔ .	Any student of this school must learn one more foreign language besides English.	[sound:334274.mp3]
我觉得要我用法语写一本小说是不可能的。	wǒ juéde yào wǒ yòngfǎyǔ xiě yī běn xiǎoshuō shì bù kěnéng de .	I think it impossible for me to write a novel in French.	[sound:334058.mp3]
