Kate, 坐吧。	Kate, zuò ba.	Sit down, Kate.	[sound:332793.mp3]
慢慢来，不然你可能会出错的。	Mànmànlái, bù rán nǐ kěneng huì chūcuò de.	Take your time, or you may make some mistakes.	[sound:334398.mp3]
你真是个天使！	Nǐ zhēn shì ge tiānshǐ!	You're an angel!	[sound:334433.mp3]
这是一种西瓜。	Zhè shì yī zhong xīguā.	This is a kind of watermelon.	[sound:334498.mp3]
这几天我脑袋里的事情太多了。	Zhè jǐ tiān wǒ nǎodài lǐ de shìqing tài duō le.	I have too many things on my mind these days.	[sound:334712.mp3]
他的包就在这儿，所以他不可能已经去了学校。	Tā de bāo jiù zài zhèr, suǒyǐ tā bù kěneng yǐjing qù le xuéxiào.	His bag is right here, so he cannot have gone to school yet.	[sound:334765.mp3]
她半年后就要出国了。	Tā bàn nián hoù jiù yào chūguó le.	She's leaving the country in six months.	[sound:332421.mp3]
我在报纸上看到了它。	Wǒ zài bàozhǐ shang kàn dào le tā.	I saw it in the newspaper.	[sound:332437.mp3]
你想走的时候就走吧。	Nǐ xiang zoǔ de shíhou jiù zoǔ ba.	Go when you want.	[sound:332528.mp3]
孩子们洗了他们的脚。	Háizimen xǐ le tāmen de jiǎo.	The children washed their feet.	[sound:332642.mp3]
他们午饭吃了三明治。	Tāmen wǔfàn chī le sānmingzhì.	They ate sandwiches for lunch.	[sound:332731.mp3]
Tom躲在桌子底下。	Tom duǒ zài zhuōzi dǐxia.	Tom hid under the table.	[sound:332772.mp3]
我猜想你可能是对的。	Wǒ cāixiang nǐ kěneng shì duì de.	You could be right, I suppose.	[sound:332989.mp3]
我看见书桌上有朵花。	Wǒ kànjiàn shūzhuō shang yoǔ duǒ huā.	I see a flower on the desk.	[sound:333005.mp3]
你能猜到我有什么吗？	Nǐ neng cāi dào wǒ yoǔ shénme ma?	Can you guess what I have?	[sound:333142.mp3]
没有人相信我说的话。	Méiyoǔ rén xiangxìn wǒ shuō de huà.	Nobody believed what I said.	[sound:333942.mp3]
她手里拿着一朵玫瑰。	Tā shoǔ lǐ ná zhe yī duǒ méigui.	She has a rose in her hand.	[sound:334317.mp3]
额。。。这个怎么用？	E... zhège zěnme yong?	Er, how do you use this?	[sound:334480.mp3]
如果我早知道你在这儿的话，我马上就来了。	Rúguǒ wǒ zǎo zhīdao nǐ zài zhèr de huà, wǒ mǎshang jiù lái le.	If I had known that you were here, I would have come at once.	[sound:334633.mp3]
我住在一个大城市里。	Wǒ zhù zài yī gè dà chengshì lǐ.	I live in a big city.	[sound:334645.mp3]
他上学很可能会迟到。	Tā shangxué hěn kěneng huì chídào.	He is likely to be late for school.	[sound:334677.mp3]
我发现读这本书很难。	Wǒ fāxiàn dú zhè běn shū hěn nán.	I found it difficult to read the book.	[sound:334828.mp3]
你什么时候去伦敦的？	Nǐ shénme shíhou qù Lúndūn de?	When did you go to London?	[sound:335024.mp3]
很难说明天的天气将会怎样。	Hěn nánshuō mingtiān de tiānqì jiang huì zěnyang.	It's hard to predict what the weather will be like tomorrow.	[sound:332955.mp3]
我今晚10点见你比较方便。	Wǒ jīnwǎn shí diǎn jiàn nǐ bǐjiào fangbiàn.	It's convenient for me to see you at ten tonight.	[sound:334761.mp3]
一个是新的，另一个是旧的。	Yī gè shì xīn de, ling yī gè shì jiù de.	One is new, and the other is old.	[sound:334784.mp3]
春天和秋天，你更喜欢哪个？	Chūntiān hé qiūtiān, nǐ geng xǐhuan něige?	Which do you prefer, spring or autumn?	[sound:335123.mp3]
我们每天早上到公园里遛狗。	Wǒmen měitiān zǎoshang dào gongyuán lǐ liùgoǔ.	Every morning we take the dog for a walk in the park.	[sound:8796079.mp3]
我会安排一下，叫个人去你家接你。	Wǒ huì ānpái yīxià, jiào ge rén qù nǐ jiā jiē nǐ.	I'll arrange for someone to pick you up at your home.	[sound:334326.mp3]
三年前我来到东京并一直住在这儿。	Sān nián qián wǒ láidào Dongjing bing yīzhí zhù zài zhèr.	I came to Tokyo three years ago and have been living here ever since.	[sound:334444.mp3]
演出真的很有意思，你该去看看的。	Yǎnchū zhēn de hěn yoǔ yìsi, nǐ gāi qù kànkan de.	The show was very interesting. You should have seen it.	[sound:334892.mp3]
当她发现他们还没有学校，她就办了一个。	Dang tā fāxiàn tāmen hái méiyoǔ xuéxiào, tā jiù bàn le yī gè.	When she saw that they had no schools, she started one.	[sound:332507.mp3]
我觉得要我用法语写一本小说是不可能的。	Wǒ juéde yào wǒ yong Fǎyǔ xiě yī běn xiǎoshuō shì bù kěneng de.	I think it impossible for me to write a novel in French.	[sound:334058.mp3]
我一点都不知道这会给你带来那么多问题。	Wǒ yīdiǎn doū bù zhīdào zhè huì gěi nǐ dàilái nème duō wèntí.	I had no idea it would put you to so much trouble.	[sound:334084.mp3]
他给我们讲了一个有趣的故事，我们都笑了起来。	Tā gěi wǒmen jiang le yī gè yoǔqù de gùshi, wǒmen doū xiào le qǐlai.	He told us such a funny story that we all laughed.	[sound:332533.mp3]
这周我一直在工作。	Zhè zhoū wǒ yīzhí zài gongzuò.	I worked all this week.	[sound:332423.mp3]
是在昨天Jake打破了这扇窗。	Shì zài zuótiān Jake dǎpò le zhè shàn chuang.	It was yesterday that Jake broke this window.	[sound:332461.mp3]
他正坐在会议室里。	Tā zheng zuò zài huìyìshì lǐ.	He's sitting in the meeting room.	[sound:332471.mp3]
我看见一个长头发的女生。	Wǒ kànjiàn yī gè chang toúfa de nvsheng.	I saw a girl with long hair.	[sound:332523.mp3]
Tom否认偷了钱。	Tom foǔrèn toū le qián.	Tom denied having stolen the money.	[sound:332630.mp3]
我上周不忙。	Wǒ shangzhoū bù mang.	I wasn't busy last week.	[sound:332678.mp3]
我不能让自己做这样的事。	Wǒ bù neng rang zìjǐ zuò zhèyang de shì.	I can't bring myself to do such a thing.	[sound:332681.mp3]
我想再来一杯啤酒。	Wǒ xiang zài lái yī bēi píjiǔ.	I feel like another beer.	[sound:332782.mp3]
老人试图游5公里。	Lǎorén shìtú yoú wǔ gonglǐ.	The old man attempted to swim five kilometers.	[sound:332826.mp3]
我用两千日元买了这本书。	Wǒ yong liang qiān Rìyuán mǎi le zhè běn shū.	I paid two thousand yen for the book.	[sound:332889.mp3]
据说他爸爸在外国去世了。	Jùshuō tā bàba zài wàiguó qùshì le.	It is said that his father died in a foreign country.	[sound:332895.mp3]
你叔叔让你开他的车了吗？	Nǐ shūshu rang nǐ kāi tā de chē le ma?	Did your uncle let you drive his car?	[sound:332902.mp3]
他是美国人。	Tā shì Měiguórén.	He is an American.	[sound:332941.mp3]
我会给你开个药方。	Wǒ huì gěi nǐ kāi ge yàofang.	I'll give you a prescription.	[sound:332958.mp3]
响了。	Xiang le.	It rang.	[sound:332972.mp3]
请你把冷气调高点。	Qing nǐ bǎ lengqì tiáo gāo diǎn.	Please turn up the AC a little bit.	[sound:333014.mp3]
你读给我听的时候，我就可以做缝纫了。	Nǐ dú gěi wǒ ting de shíhou, wǒ jiù kěyǐ zuò fengrèn le.	While you are reading to me, I can do my sewing.	[sound:333120.mp3]
8月份没课。	Bā yuèfèn méi kè.	There is no school during August.	[sound:333141.mp3]
如果不是因为有你的帮助，我不可能完成了这个工作。	Rúguǒ bù shì yīnwèi yoǔ nǐ de bangzhù, wǒ bù kěneng wáncheng le zhège gongzuò.	If it had not been for your help, I couldn't have completed the work.	[sound:333151.mp3]
他刚离开家。	Tā gang líkāi jiā.	He has just left home.	[sound:333209.mp3]
这本书我能借多久？	Zhè běn shū wǒ neng jiè duōjiǔ?	How long can I borrow this book?	[sound:333402.mp3]
你昨天看到的那个男人是我叔叔。	Nǐ zuótiān kàn dào de nèige nánrén shì wǒ shūshu.	The man you saw yesterday was my uncle.	[sound:333456.mp3]
我们学校在市中心。	Wǒmen xuéxiào zài shìzhongxīn.	Our school is in the center of the town.	[sound:333499.mp3]
爱迪生不是个优秀的学生。	Aìdísheng bù shì ge yoūxiù de xuésheng.	Edison was not a bright student.	[sound:333854.mp3]
狗向着我跑了过来。	Goǔ xiang zhe wǒ pǎo le guòlai.	The dog came running to me.	[sound:333968.mp3]
我妹妹很像我妈妈。	Wǒ mèimei hěn xiang wǒ māma.	My sister resembles my mother.	[sound:334032.mp3]
他总是在笑。	Tā zongshì zài xiào.	He's always smiling.	[sound:334059.mp3]
我根本不累。	Wǒ gēnběn bù lèi.	I'm not at all tired.	[sound:334090.mp3]
没有什么和和平一样重要。	Méiyoǔ shénme hé héping yīyang zhongyào.	Nothing is as important as peace.	[sound:334140.mp3]
我8年前就结婚了。	Wǒ bā nián qián jiù jiéhūn le.	I married eight years ago.	[sound:334153.mp3]
没有你我无法做到，谢谢。	Méiyoǔ nǐ wǒ wúfǎ zuòdào, xièxie.	I couldn't have done it without you. Thank you.	[sound:334160.mp3]
他不是歌手，但是个演员。	Tā bù shì gēshoǔ, dànshì ge yǎnyuán.	He is not a singer, but an actor.	[sound:334209.mp3]
走吧。	Zoǔ ba.	Let's go!	[sound:334277.mp3]
我们必须去学校了。	Wǒmen bìxū qù xuéxiào le.	We must go to school.	[sound:334285.mp3]
我想知道她发生什么事了。	Wǒ xiang zhīdào tā fāsheng shénme shì le.	I wonder what has happened to her.	[sound:334329.mp3]
请你不要哭。	Qing nǐ bù yào kū.	Please don't cry.	[sound:334469.mp3]
这辆自行车是谁的？	Zhè liang zìxingchē shì shéi de?	Whose bicycle is this?	[sound:334531.mp3]
得了！你弄得她不自在了！	Déle! Nǐ nong de tā bù zìzai le!	Stop it! You're making her feel uncomfortable!	[sound:334912.mp3]
那就是问题所在了。	Nà jiùshì wèntí suǒzài le.	Therein lies the problem.	[sound:334924.mp3]
我能把我的车停在这儿吗？	Wǒ neng bǎ wǒ de chē ting zài zhèr ma?	Could I park my car here?	[sound:334986.mp3]
他跑得能有多快就有多快。	Tā pǎo de neng yoǔ duō kuài jiù yoǔ duō kuài.	He ran as fast as he could.	[sound:335082.mp3]
他把书放在了桌上。	Tā bǎ shū fang zài le zhuō shang.	He put the book on the table.	[sound:335085.mp3]
他打网球打得很好。	Tā dǎ wangqiú dǎ de hěn hǎo.	He is good at playing tennis.	[sound:335091.mp3]
他打了网球。	Tā dǎ le wangqiú.	He played tennis.	[sound:335093.mp3]
这个词是什么意思？	Zhège cí shì shénme yìsi?	What does this word mean?	[sound:335099.mp3]
他刚回到家。	Tā gang huídào jiā.	He just got home.	[sound:335119.mp3]
不要再把我当成“正常” 人!	"Bù yào zài bǎ wǒ dangcheng ""zhengchang "" rén!"	"Stop seeing me as a ""normal"" person!"	[sound:61.mp3]
他昨天看了一部最有趣的小说。	Tā zuótiān kàn le yī bù zuì yoǔqù de xiǎoshuō.	He read a most interesting novel yesterday.	[sound:332448.mp3]
我不会说法语，也不会说德语。	Wǒ bù huì shuō Fǎyǔ, yě bù huì shuō Déyǔ.	I can't speak French or German.	[sound:332877.mp3]
是在这点上我们的意见有分歧。	Shì zài zhè diǎn shang wǒmen de yìjiàn yoǔ fēnqí.	It's on this point that our opinions differ.	[sound:333944.mp3]
我不知道她是什么时候结婚的。	Wǒ bù zhīdào tā shì shénme shíhou jiéhūn de.	I don't know when she got married.	[sound:334408.mp3]
有一天，我会跑得像风一样快。	Yoǔ yī tiān, wǒ huì pǎo de xiang feng yīyang kuài.	Someday I'll run like the wind.	[sound:334471.mp3]
我回到家的时候，感觉非常饿。	Wǒ huídào jiā de shíhou, gǎnjué fēichang è.	When I got home, I was very hungry.	[sound:334548.mp3]
我能问一下您的姓名和住址吗？	Wǒ neng wèn yīxià nín de xingming hé zhùzhǐ ma?	Might I ask your name and address?	[sound:334622.mp3]
她不喜欢我说话的方式。	Tā bù xǐhuan wǒ shuōhuà de fangshì.	She doesn't like the way I speak.	[sound:332617.mp3]
2月我们有个短期休假。	Er yuè wǒmen yoǔ ge duǎnqī xiūjià.	We had a short vacation in February.	[sound:332811.mp3]
你觉得这件毛衣怎么样？	Nǐ juéde zhè jiàn máoyī zěnmeyang?	What do you think of this sweater?	[sound:332853.mp3]
是谁教她怎么说英语的？	Shì shéi jiāo tā zěnme shuō Yingyǔ de?	Who taught her how to speak English?	[sound:333752.mp3]
对不起，我不能待很久。	Duìbuqǐ, wǒ bù neng dài hěn jiǔ.	I'm sorry, I can't stay long.	[sound:334448.mp3]
他工作得太多，病倒了。	Tā gongzuò de tài duō, bingdǎo le.	He worked too hard, and became sick.	[sound:334796.mp3]
我现在感觉好多了，但我知道爸爸还是会很担心。	Wǒ xiànzài gǎnjué hǎo duō le, dàn wǒ zhīdào bàba háishi huì hěn dānxīn.	I'm feeling better now, but I know that my father will still be very worried.	[sound:334999.mp3]
不要相信一个你一点都不了解他过去的人。	Bù yào xiangxìn yī gè nǐ yīdiǎn doū bù liǎojiě tā guòqù de rén.	Don't trust a man whose past you know nothing about.	[sound:332608.mp3]
我直视他的眼睛。	Wǒ zhíshì tā de yǎnjing.	I looked him in the eyes.	[sound:332762.mp3]
你对女人有一套。	Nǐ duì nvrén yoǔ yī tào.	You have a way with women.	[sound:332906.mp3]
着火了！快跑啊！	Zháohuǒ le! kuài pǎo ā!	Fire! Run!	[sound:332908.mp3]
你工作太努力了。	Nǐ gongzuò tài nǔlì le.	You work too hard.	[sound:332949.mp3]
你可能是对的，但我和你意见相反。	Nǐ kěneng shì duì de, dàn wǒ hé nǐ yìjiàn xiangfǎn.	You may be right, but I am against your opinion.	[sound:333083.mp3]
他这么说很奇怪。	Tā zhème shuō hěn qíguài.	It is strange that he should say so.	[sound:333220.mp3]
这周放什么电影？	Zhè zhoū fang shénme diànying?	What movies are playing this week?	[sound:333221.mp3]
明天在办公室见。	Mingtiān zài bàngongshì jiàn.	See you tomorrow in the office.	[sound:333832.mp3]
她每天都打网球。	Tā měitiān doū dǎ wangqiú.	She plays tennis every day.	[sound:334212.mp3]
局长，那不是我！	Júzhang, nà bù shì wǒ!	It wasn't me, commissioner!	[sound:334438.mp3]
他骑自行车去的。	Tā qí zìxingchē qù de.	He went by bicycle.	[sound:334536.mp3]
我没有一个愿意跟我一起旅行的人。	Wǒ méiyoǔ yī gè yuànyì gēn wǒ yīqǐ lvxing de rén.	I don't have anyone who'd travel with me.	[sound:334914.mp3]
他是个网球高手。	Tā shì ge wangqiú gāoshoǔ.	He is a good tennis player.	[sound:335077.mp3]
他网球打得很好。	Tā wangqiú dǎ de hěn hǎo.	He can play tennis very well.	[sound:335090.mp3]
他有几分像学者。	Tā yoǔ jǐfēn xiang xuézhě.	He is something of a scholar.	[sound:335117.mp3]
他刚好准时到校。	Tā ganghǎo zhǔnshí dào xiào.	He got to school just in time.	[sound:335121.mp3]
他和班上其他男生一样聪明。	Tā hé bānshang qítā nánsheng yīyang congming.	He is as smart as any other boy in the class.	[sound:333119.mp3]
如果明天下雨，我就待在家。	Rúguǒ mingtiān xiàyǔ, wǒ jiù dài zài jiā.	If it rains tomorrow, I'll just stay at home.	[sound:333425.mp3]
“滚石不生苔”是一句谚语。	Gǔn shí bù sheng tái shì yī jù yànyǔ.	A rolling stone gathers no moss is a proverb.	[sound:334494.mp3]
如果天气允许的话，我们1小时后出发。	Rúguǒ tiānqì yǔnxǔ de huà, wǒmen yī xiǎoshí hoù chūfā.	Weather permitting, we will leave in an hour.	[sound:333848.mp3]
他退休的时候，他儿子接手了他的生意。	Tā tuìxiū de shíhou, tā érzi jiē shoǔ le tā de shengyi.	When he retired, his son took over his business.	[sound:334035.mp3]
说了所有我要说的话后，我感觉很轻松。	Shuō le suǒyoǔ wǒ yào shuō de huà hoù, wǒ gǎnjué hěn qingsong.	I felt quite relieved after I had said all I wanted to say.	[sound:334551.mp3]
你开始学习英语了吗？	Nǐ kāishǐ xuéxí Yingyǔ le ma?	Have you begun studying English?	[sound:332546.mp3]
科学和数学我都喜欢。	Kēxué hé shùxué wǒ doū xǐhuan.	I like both science and math.	[sound:332615.mp3]
你们对外语感兴趣吗？	Nǐmen duì wàiyǔ gǎn xingqù ma?	Are you interested in foreign languages?	[sound:332725.mp3]
这被认为是一件大事。	Zhè bèi rènwéi shì yī jiàn dàshì.	This is considered to be a matter of great importance.	[sound:332824.mp3]
我想知道这个冬天在我们的城市会不会下雪。	Wǒ xiang zhīdào zhège dongtiān zài wǒmen de chengshì huì bù huì xiàxuě.	I wonder if it will snow in our town this winter.	[sound:332969.mp3]
让我试试。	Rang wǒ shì shì.	Let me have a try.	[sound:333051.mp3]
你必须在天黑前回来。	Nǐ bìxū zài tiānhēi qián huílai.	You must come back before it gets dark.	[sound:333233.mp3]
我在想哪个跑步运动员会跑第一。	Wǒ zài xiang něige pǎobù yùndongyuán huì pǎo dìyī.	I wonder which of the runners will come first.	[sound:333378.mp3]
我希望住在你家附近。	Wǒ xīwang zhù zài nǐ jiā fùjìn.	I wish I could live near your house.	[sound:333534.mp3]
我很难过。	Wǒ hěn nánguò.	I'm sad.	[sound:333736.mp3]
我今天早上不想散步。	Wǒ jīntiān zǎoshang bù xiang sànbù.	I don't feel like taking a walk this morning.	[sound:333767.mp3]
她嫁给了一个有钱人。	Tā jià gěi le yī gè yoǔqiánrén.	She married a rich man.	[sound:334036.mp3]
走着去火车站要多久？	Zoǔ zhe qù huǒchēzhàn yào duōjiǔ?	How long does it take to walk to the station?	[sound:334074.mp3]
他最多能拿到第三名。	Tā zuì duō neng ná dào dì sān ming.	At best he may take third place.	[sound:334154.mp3]
我想和一个像她那样的女孩结婚。	Wǒ xiang hé yī gè xiang tā nèiyang de nvhái jiéhūn.	I want to marry a girl like her.	[sound:334198.mp3]
我正在大学里读经济。	Wǒ zhengzài dàxué lǐ dú jingjì.	I'm studying economics at university.	[sound:334302.mp3]
这里的人习惯了寒冷。	Zhèlǐ de rén xíguàn le hánleng.	The people here are accustomed to the cold.	[sound:334406.mp3]
8点半之前不会开始。	Bā diǎn bàn zhīqián bù huì kāishǐ.	It doesn't start before eight thirty.	[sound:334462.mp3]
他的自行车是蓝色的。	Tā de zìxingchē shì lánsè de.	His bicycle is blue.	[sound:334534.mp3]
我们昨天发出了邀请。	Wǒmen zuótiān fāchū le yāoqing.	We sent out the invitations yesterday.	[sound:334861.mp3]
我在考虑明年去国外。	Wǒ zài kǎolv mingnián qù guówài.	I'm thinking of going abroad next year.	[sound:335032.mp3]
我生平难得做了一件好事...却是没用的。	Wǒ shengping nándé zuò le yī jiàn hǎoshì... quèshì méiyong de.	For once in my life I'm doing a good deed... And it is useless.	[sound:335055.mp3]
如果我早知道，我不会跟她说这种话。	Rúguǒ wǒ zǎo zhīdao, wǒ bù huì gēn tā shuō zhèzhong huà.	Had I known that, I wouldn't have said such a thing to her.	[sound:334781.mp3]
我要的是茶，而他却给了我一杯咖啡。	Wǒ yào de shì chá, ér tā què gěi le wǒ yī bēi kāfēi.	He brought me coffee, when I had asked for tea.	[sound:335004.mp3]
得不到的东西就最想得到。	Débùdào de dongxi jiù zuì xiang dédào.	It is the things that we do not possess which seem to us most desirable.	[sound:332950.mp3]
我家附近有个漂亮的公园。	Wǒ jiā fùjìn yoǔ ge piàoliang de gongyuán.	There is a beautiful park near my home.	[sound:333150.mp3]
当一个陌生人来和玛丽说话时，她不知道该说什么了。	Dang yī gè mòshengrén lái hé Mǎlì shuōhuà shí, tā bù zhīdào gāi shuō shénme le.	When Mary was spoken to by a stranger, she was at a loss for words.	[sound:334121.mp3]
我不知道我是否有时间做。	Wǒ bù zhīdào wǒ shìfoǔ yoǔ shíjiān zuò.	I don't know if I'll have time to do it.	[sound:334403.mp3]
我们能赶上最后一班火车。	Wǒmen neng gǎnshang zuì hoù yī bān huǒchē.	We were able to catch the last train.	[sound:334793.mp3]
油是从橄榄中提炼出来的。	Yoú shì cong gǎnlǎn zhong tíliàn chūlái de.	Oil is extracted from olives.	[sound:334997.mp3]
你要去伦敦读书是真的吗？	Nǐ yào qù Lúndūn dúshū shì zhēn de ma?	Are you really going to London to study?	[sound:335020.mp3]
这个班的女生平均身高超过了155公分。	Zhège bān de nvsheng pingjūn shēngāo chāoguò le yī bǎi wǔ shí wǔ gongfēn.	The average height of the girls in class is over 155 centimeters.	[sound:333943.mp3]
你上班迟到了。	Nǐ shangbān chídào le.	You were late for work.	[sound:332606.mp3]
这是一个例外。	Zhè shì yī gè lìwài.	This is an exception to the rule.	[sound:332705.mp3]
我有两个儿子，一个在东京，另一个在名古屋。	Wǒ yoǔ liang gè érzi, yī gè zài Dongjing, ling yī gè zài Minggǔwū.	I have two sons; one is in Tokyo, and the other in Nagoya.	[sound:332913.mp3]
难怪她表示不想再见到他了。因为他们分手了。	Nánguài tā biǎoshì bù xiang zàijiàn dào tā le. yīnwèi tāmen fēnshoǔ le.	No wonder she doesn't want to see him again. Because they broke up.	[sound:332984.mp3]
他的化学很差。	Tā de huàxué hěn chà.	He is poor at chemistry.	[sound:332985.mp3]
大家都知道她的英语说得很好。	Dàjiā doū zhīdào tā de Yingyǔ shuō de hěn hǎo.	Everybody knew she could speak English well.	[sound:333282.mp3]
我叔叔给了我一块漂亮的手表。	Wǒ shūshu gěi le wǒ yī kuài piàoliang de shoǔbiǎo.	I was given a nice watch by my uncle.	[sound:333700.mp3]
我想吃苹果派。	Wǒ xiang chī pingguǒpài.	I want to eat apple pie.	[sound:333852.mp3]
能为你服务我会感到非常高兴。	Neng wèi nǐ fúwù wǒ huì gǎndào fēichang gāoxing.	I'll be very happy if I can serve you.	[sound:333897.mp3]
我工作累死了。	Wǒ gongzuò lèi sǐ le.	I was exhausted from work.	[sound:333924.mp3]
哦，这是什么？	O, zhè shì shénme?	Oh, what is this?	[sound:334207.mp3]
你可以慢慢来。	Nǐ kěyǐ mànmàn lái.	Take your time.	[sound:334393.mp3]
我没时间阅读。	Wǒ méi shíjiān yuèdú.	I don't have time to read.	[sound:334401.mp3]
真是个好主意！	Zhēn shì ge hǎo zhǔyi!	That's a good idea!	[sound:334422.mp3]
那有两块蛋糕。	Nà yoǔ liang kuài dàngāo.	There were two cakes.	[sound:334594.mp3]
我想要点蛋糕。	Wǒ xiangyào diǎn dàngāo.	I want some cake.	[sound:334697.mp3]
他讲不好法语。	Tā jiang bù hǎo Fǎyǔ.	He speaks poor French.	[sound:334905.mp3]
没有人理解我。	Méiyoǔrén lǐjiě wǒ.	Nobody understands me.	[sound:334907.mp3]
在明天前完成报告几乎是不可能的。	Zài mingtiān qián wáncheng bàogào jīhū shì bù kěneng de.	Finishing the report by tomorrow is next to impossible.	[sound:332447.mp3]
我们去滑雪怎么样？	Wǒmen qù huáxuě zěnmeyang?	What do you say we go skiing?	[sound:332768.mp3]
让我看看那些照片。	Rang wǒ kànkan nèixiē zhàopiān.	Let me have a look at those photos.	[sound:332803.mp3]
她戴上了她的帽子。	Tā dàishang le tā de màozi.	She put on her hat.	[sound:332817.mp3]
这首歌让我想家了。	Zhè shoǔ gē rang wǒ xiangjiā le.	The song reminds me of my home.	[sound:332873.mp3]
他总喝他的黑咖啡。	Tā zong hē tā de hēi kāfēi.	He always drinks black coffee.	[sound:333307.mp3]
我们需要的是帮助。	Wǒmen xūyào de shì bangzhù.	What we need is help.	[sound:333457.mp3]
这消息让她很高兴。	Zhè xiāoxi rang tā hěn gāoxing.	The news made her happy.	[sound:333657.mp3]
我小时候只穿裤子。	Wǒ xiǎoshíhou zhǐ chuān kùzi.	When I was little, I would only wear pants.	[sound:333870.mp3]
为了弄到一个好位子，我很早就出门了。	Wèile nongdào yī gè hǎo wèizi, wǒ hěn zǎo jiù chūmén le.	I left home early to get a good seat.	[sound:333909.mp3]
大家都玩爱情游戏。	Dàjiā doū wán àiqing yoúxì.	Everybody plays the game of love.	[sound:334037.mp3]
他们好不容易才回答了他们老师的问题。	Tāmen hǎo bù rongyì cái huídá le tāmen lǎoshī de wèntí.	They answered their teacher's question with difficulty.	[sound:334323.mp3]
夜晚很长，不是吗？	Yèwǎn hěn chang, bù shì ma?	Well, the night is quite long, isn't it?	[sound:334431.mp3]
这药会让你好受点。	Zhè yào huì rang nǐ hǎoshoù diǎn.	This medicine will make you feel better.	[sound:334625.mp3]
很幸运地，我在机场遇到了我的老朋友。	Hěn xingyùn de, wǒ zài jīchang yù dào le wǒ de lǎo pengyou.	Quite by chance, I met my old friend at the airport.	[sound:334850.mp3]
您想要茶还是咖啡？	Nín xiangyào chá háishi kāfēi?	Would you like tea or coffee?	[sound:335008.mp3]
我不想这种事发生。	Wǒ bù xiang zhè zhong shì fāsheng.	I didn't want this to happen.	[sound:335050.mp3]
她住在罗素广场56号。	Tā zhù zài Luósù guangchang wǔ shí liù hào.	She lived at 56 Russell Square.	[sound:332600.mp3]
这是去牛津大学的车吗？	Zhè shì qù Niújīn Dàxué de chē ma?	Is this the bus to Oxford?	[sound:332851.mp3]
在这儿等到他回来为止。	Zài zhèr deng dào tā huílai wéizhǐ.	Wait here till he comes back.	[sound:332859.mp3]
他进来的同时，铃响了。	Tā jìnlái de tongshí, ling xiang le.	He came in, and at the same time the bell rang.	[sound:332894.mp3]
他一直很担心他的女儿。	Tā yīzhí hěn dānxīn tā de nv'ér.	He's always worrying about his daughter.	[sound:332983.mp3]
她太放任她的孩子们了。	Tā tài fangrèn tā de háizimen le.	She lets her children have their own way too much.	[sound:332997.mp3]
想吃多少饼干就吃多少。	Xiang chī duōshao binggān jiù chī duōshao.	Take as many cookies as you want.	[sound:333226.mp3]
我能用一下你的铅笔吗？	Wǒ neng yong yīxià nǐ de qiānbǐ ma?	Can I use your pencil?	[sound:333383.mp3]
她不但漂亮，而且聪明。	Tā bù dàn piàoliang, érqiě congming.	She is as clever as she is beautiful.	[sound:333469.mp3]
他在他班里学习最努力。	Tā zài tā bān lǐ xuéxí zuì nǔlì.	He works hardest in his class.	[sound:333675.mp3]
有人能发这个词的音吗？	Yoǔrén neng fā zhège cí de yīn ma?	Can anyone pronounce this word?	[sound:333748.mp3]
你回来之前我已经走了。	Nǐ huílai zhīqián wǒ yǐjing zoǔ le.	I had already left before you returned.	[sound:333846.mp3]
我想知道这句话的意思。	Wǒ xiang zhīdào zhè jù huà de yìsi.	I wonder what this phrase means.	[sound:334097.mp3]
如果可能的话，这周末。	Rúguǒ kěneng dehuà, zhè zhoūmò.	If possible, this weekend.	[sound:334252.mp3]
你会去访问其他国家吗？	Nǐ huì qù fangwèn qítā guójiā ma?	Are you going to visit any other countries?	[sound:334595.mp3]
但是说真的，第21集让我笑得眼泪都要出来了。	Dànshì shuō zhēn de, dì èr shí yī jí rang wǒ xiào de yǎnlèi doū yào chūlái le.	Seriously though, episode 21 made me almost cry while laughing.	[sound:335043.mp3]
这意味着其他人只能从听你说的话来了解你和喜欢你。	Zhè yìwèizhe qítā rén zhǐneng cong ting nǐ shuō dehuà lái liǎojiě nǐ hé xǐhuan nǐ.	This means that others can only come to know you and like you by listening to what you say.	[sound:332788.mp3]
除非雨停了，我们才会出去。	Chúfēi yǔ ting le, wǒmen cái huì chūqù.	We won't go out unless it stops raining.	[sound:332695.mp3]
他们的合同在这个月底到期。	Tāmen de hétong zài zhège yuèdǐ dàoqī.	Their contract is to run out at the end of this month.	[sound:332799.mp3]
你能为我腾出几分钟时间吗?	Nǐ neng wèi wǒ tengchū jǐ fēnzhong shíjiān ma?	Could you spare me a few minutes?	[sound:332810.mp3]
如果你快一点，还能赶上他。	Rúguǒ nǐ kuài yīdiǎn, hái neng gǎnshang tā.	If you hurry, you will catch up with him.	[sound:332825.mp3]
他弟弟是个有名的足球选手。	Tā dìdi shì ge yoǔming de zúqiú xuǎnshoǔ.	His brother is a famous soccer player.	[sound:332970.mp3]
那个穿棕色大衣的女人是谁？	Nèige chuān zongsè dàyī de nvrén shì shéi?	Who is the woman in the brown coat?	[sound:333078.mp3]
没人知道那机器长什么样子。	Méirén zhīdào nà jīqì zhang shénme yangzi.	Nobody knew what the machine was like.	[sound:333140.mp3]
