Krig er fred.	War is peace.
Det finnes ingen verktøy som måler innbyggernes fotavtrykk.	There exist no tools that measure the inhabitants' footprints.		
Det er nok mulig å finne det ut, men det er en lang og omstendelig affære.	It is certainly possibly to find that out, but it is a long and detailed/elaborate affair.		
Folk synes det er vanskelig å orientere seg i vrimmelen av såkalte bærekraftige valg.	People believe it is difficult to orientate themselves in the swarm/crowd of so-called sustainable choices.		
Vi trenger god gammeldags folkeopplysning, og vi trenger et verktøy som viser hva vårt forbruk utgjør i faktisk utslipp.	We need good old-fashioned public information, and we need a tool that shows what our consumption composes/amounts to in actual emissions.		
For hvis vi ikke skaper et marked for bærekraftige varer og tjenester, vil utslippene bare fortsette å stige.	For if we don't make a market for sustainable products and services, the emissions will just continue to rise.		
Min lykkefølelse over å gjøre et kupp er ikke lenger den samme heller.	My feeling of happiness over making a killing is no longer the same either.		
I helga fornyet jeg høstgarderoben på Fretex og fikk vond smak i munnen.	This weekend I renewed my autumn wardrobe at Fretex and got a bad taste in my mouth.		
Få ting er så kjedelig som nupper på klærne.	Few things are so unpleasent as sweater pills on clothes.		
Problemet er at vi – innbyggerne – har et personlig fotavtrykk som til sammen er 15 ganger større enn utslipp fra kommunens virksomhet.	The problem is that we - the inhabitants - have a personal footprint that together is 15 times greater than emissions from the municipality's activities.		
Det internasjonale teamet omfatter forskere fra Storbritannia, USA og Japan.	The international team comprises researchers from the United Kingdom, the United States, and Japan.		
Astronomer har spekulert i flere tiår på om høye skyer på Venus kan være beboelige for mikrober.	Astronomers have speculated for several decades about whether high clouds on Venus can be inhabitable for microbes.		
Forskerne som presenter oppdagelsen i tidsskriftene Nature Astronomy og Astrobiology, understreker at fosfin alene ikke kan bevise at det finnes liv på Venus.	The researchers who present the discovery in the journals Nature Astronomy and Astrobiology, emphasize that phosphine alone cannot prove that there exists life on Venus.		
Men resultatene regnes likevel som svært interessante.	But the results are still considered/regarded as very interesting.		
- Dette er et forbausende funn, helt ut av det blå, sier romforskeren Sara.	This is a surprising/astronishing find, completely out of the blue, says space scientist Sara.		
Forskere har i årevis lett etter liv andre steder i solsystemet, som på Mars og store, isdekte måner som Europa og Enceladus.	Researchers have for years searched after life elsewhere in the solar system, such as on Mars and large, ice-decked moons like Europa and Enceladus.		
Vår nabo Venus har ikke vært gjenstand for like stor interesse.	Our neighbor Venus has not been a subject of great interest.		
En del av forklaringen er at forholdene på Venus er ekstreme sammenlignet med jorden.	A part of the explanation is that the conditions on Venus are extreme compared with Earth.		
Skyene som dekker overflaten på Venus, er også ekstremt sure og vil bryte ned gassen raskt. Dermed tyder funnet på at noe danner fosfin fortløpende.	The clouds that cover the surface of Venus are also extremely acidic and will break down the gas quickly. Thus the finding indicates that something forms phosphine continuously.		
På Jorden blir denne gassen bare produsert industrielt eller av mikrober som trives i oksygenfrie omgivelser.	On Earth this gas is just produced industially or by microbes that thrive in oxygen-free environments.		
Mengden som er oppdaget på Venus, er liten, regnet i antall molekyler tilsvarer den rundt 20 per milliard.	The amount which was discovered on Venus is small, calculated in number of molecules, corresponding to around 20 per billion.		
For å finne en mulig forklaring på fenomenet, har forskerne gjennomført en rekke modellstudier.	To find a possible explanation for the phenomenon, the researchers have carried out a number of model studies.		
De vurderte blant annet muligheten for at fosfinet dannes av sollys, mineraler som blir blåst opp fra overflaten, vulkaner eller lyn.	They considered, among others, the possibility that the phosphine forms from sunlight, minerals that are blown up from the surface, volcanoes, or lightning.		
Ingen av disse kildene ser imidlertid ut til å kunne forklare mer enn en titusendel av mengden som er observert.	None of these sources look, however, able to explain more than a ten thousandth of the amount that is observed.		
Konklusjonen er at forskningen er bevis på det ekspertene kaller «anomal og ukjent kjemi» på Venus.	"The conclusion is that the research is proof of what the experts call ""anomalous and unknown chemistry"" on Venus."		
– Dette er et av de mest spennende tegnene på mulig utenomjordisk liv jeg har sett noen gang, sier Alan.	"""This is one of the most exciting signs of possible extraterrestrial life I have ever seen,"" says Alan."		
Han advarer imidlertid om at selv om det er fristende å tro at fosfinet dannes av levende organismer, er det nødvendig å utelukke alle mulige andre ikke-biologiske forklaringer.	He warns however that although it is tempting to think that the phosphine forms from living organisms, it is necessary to exclude/rule-out all possible other non-biological explanations.		
Vi spilte på kvelden, natten og tidlig på morgen. Og spilte ofte ganske lenge om gangen.	We played in the evening, at night, and early in the morning. And often played quite long at a time.		
Hun var blant dem som endret livsstil denne våren.	She was among those who changed their lifestyle this spring.		
Jeg holdt meg mye mer inne.	I stayed a lot more inside.		
Jeg er en person som alltid drar ut, så det å sitte hjemme på kveldene og spille en hel dag var merkelig, men det var også litt deilig å kunne koble ut og slappe av en del av i den perioden.	I am a person who always goes ou, so sitting at home in the evenings and playing a whole day was strange, but it was also a little nice to b able to disconnect and relax a bit in that period.		
– Jeg kjenner veldig mange «gamere» og de spiller mye generelt, men de spilte i overkant mye de også, sier hun.	"""I know very many 'gamers' and they splay a lot in general, but they played in excess also,"" she says."		
Undersøkelsen oppgir også at mange spiste usunt og trente mindre mellom mars og juni.	The survey also states [info] that many ate unhealthily and exercised less between March and June.		
Jorunn er klar på hva en slik livsstil kan føre til i lengden.	Jorunn is clear on what such a lifestyle can lead to in the long run.		
Hvis du spiser veldig uregelmessig og usunt, og ikke får beveget deg noe særlig, men rusler en tur innimellom, så kan det få en veldig uheldig helseeffekt.	If you eat very irregularly and unhealthily, and don't get to move very much, but take a walk once in a while, so it can have a very unfortunate health effect.		
Det er klart hvis alt sklir ut nå, så er det vanskeligere å hente seg inn igjen og få til det gode mønsteret man hadde før korona.	It is clear if everything slips out now, then it is difficult to recover and get to a good pattern one had before Corona.		
Folk er engstelige for å bli smittet, og mange av treningssentrene var stengt veldig lenge.	People are anxious about getting infected and many training centers were closed for a very long time.		
Hva gjør du når du får mensen rett før en viktig fotballkamp?	What do you do when you get your period right before an important football match?		
Gull og grønne skoger er et uttrykk som betyr 'store rikdommer og herligheter', og er en talemåte som finnes i ulike former i mange språk.	"Gold and green forests is an expression which means ""great riches and delights/glory"", and is a saying that exists in various forms in many languages."		
Talemåten har en mer opprinnelig form i ordtaket «det er gull i grønne skoger».	"The expression has a more original form in the saying ""there is gold in the green forests""."		
Den eldste kjente kilden er Terents' komedie Phormio.	"The oldest known source is Terence's comedy ""Phormio""."		
